Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,18,15,7,9,2,11,32,34.4,21,16,8,8,10,28,8,1,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,65,39,29,27,9,26,59,44.1,33,41,16,25,35,100,85,0,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,16,11,9,6,1,7,10,70.0,3,10,0,10,13,29,15,0,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,17,2,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,,1,,,,,,,,,,,0,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,16,6,6,8,2,7,16,43.8,9,5,0,5,7,23,10,0,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,1,1,0,1,0,0,1,0.0,1,1,1,0,4,5,11,0,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,15,7,4,7,4,7,18,38.9,11,20,1,19,24,39,10,0,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,3,0,1,2,0,2,4,50.0,2,1,0,1,3,6,4,0,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,11,7,9,1,1,5,12,41.7,7,7,2,5,6,17,5,0,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,38,22,16,16,6,17,29,58.6,12,18,4,14,15,53,26,0,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,23,13,16,7,0,14,28,50.0,14,46,35,11,54,77,153,0,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,5,5,1,1,3,1,5,20.0,4,4,1,3,1,6,1,0,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,,0,,,,,,,,,,,1,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,19,12,12,5,2,13,17,76.5,4,13,6,7,10,29,17,0,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,25,15,14,11,0,11,19,57.9,8,29,17,12,27,52,77,2,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,16,10,5,7,4,6,15,40.0,9,6,1,5,10,26,14,1,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,14,9,2,8,4,4,14,28.6,10,15,1,14,5,19,8,0,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,29,18,17,10,2,15,25,60.0,10,14,5,9,20,49,19,0,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,10,6,3,3,4,2,3,66.7,1,3,0,3,3,13,1,0,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,18,9,12,5,1,5,11,45.5,6,18,15,3,38,56,89,1,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,4,4,1,1,2,1,1,100.0,0,3,0,3,0,4,0,0,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,56,26,26,27,3,23,55,41.8,32,39,16,23,31,87,47,0,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,10,5,6,3,1,4,19,21.1,15,11,0,11,5,15,5,0,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,4,3,0,2,2,2,9,22.2,7,5,0,5,1,5,10,0,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,2,1,2,0,0,2,2,100.0,0,2,1,1,1,3,0,0,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,60,36,22,33,5,28,55,50.9,27,24,10,14,27,87,36,0,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,30,17,12,10,8,6,33,18.2,27,21,1,20,16,46,7,0,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,16,0,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,7,6,2,5,0,5,14,35.7,9,5,0,5,4,11,3,0,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,3,3,0,2,1,1,4,25.0,3,0,0,0,2,5,2,0,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,14,1,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,29,19,12,16,1,11,24,45.8,13,22,1,21,7,36,13,0,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,34,21,22,8,4,16,23,69.6,7,8,3,5,11,45,21,0,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,31,21,14,15,2,11,35,31.4,24,16,4,12,19,50,24,0,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,13,7,5,8,0,7,16,43.8,9,9,1,8,13,26,17,0,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,,9,,,,,,,,,,,18,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,27,20,18,9,0,16,26,61.5,10,29,20,9,17,44,84,0,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,19,10,5,11,3,10,35,28.6,25,19,5,14,8,27,8,0,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,25,13,15,7,3,10,28,35.7,18,19,3,16,9,34,13,0,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,3,1,3,0,0,3,6,50.0,3,0,0,0,2,5,13,0,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,47,24,14,18,15,21,70,30.0,49,32,2,30,21,68,7,0,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,89,52,43,40,6,50,131,38.2,81,27,5,22,20,109,32,0,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,16,8,4,10,2,3,12,25.0,9,13,4,9,11,27,8,1,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,17,10,9,6,2,4,17,23.5,13,12,1,11,11,28,18,0,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,18,11,12,6,0,9,17,52.9,8,16,7,9,12,30,30,0,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,4,1,2,1,1,1,1,100.0,0,1,1,0,0,4,0,0,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,2,2,2,0,0,2,3,66.7,1,0,0,0,2,4,0,0,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,25,18,18,4,3,15,27,55.6,12,17,13,4,26,51,82,0,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,15,5,5,8,2,5,6,83.3,1,4,0,4,3,18,8,0,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,3,0,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,46,29,24,17,5,24,55,43.6,31,29,15,14,28,74,32,1,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,93,58,36,49,8,37,77,48.1,40,34,9,25,44,137,45,0,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,15,9,2,12,1,8,14,57.1,6,13,2,11,17,32,13,0,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,34,17,25,8,1,12,19,63.2,7,55,39,16,49,83,147,1,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,7,3,5,1,1,3,5,60.0,2,0,0,0,3,10,1,0,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,10,6,3,5,2,5,7,71.4,2,8,1,7,1,11,2,0,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,10,3,4,3,3,4,12,33.3,8,5,1,4,0,10,19,0,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,24,9,5,14,5,11,30,36.7,19,11,3,8,13,37,4,0,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,12,8,3,6,3,7,10,70.0,3,5,2,3,6,18,2,0,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,13,7,2,6,5,1,16,6.3,15,8,0,8,6,19,18,0,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,16,11,2,10,4,6,19,31.6,13,8,0,8,3,19,5,0,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,12,6,3,5,4,4,11,36.4,7,4,2,2,0,12,12,0,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,40,22,12,20,8,13,38,34.2,25,22,4,18,9,49,9,0,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,2,0,2,0,0,0,0,,0,0,0,0,2,4,3,0,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,4,4,1,3,0,2,13,15.4,11,3,0,3,2,6,7,0,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,15,4,10,4,1,8,14,57.1,6,14,8,6,22,37,53,1,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,4,2,1,0,3,3,5,60.0,2,1,0,1,1,5,0,0,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,31,17,11,14,6,17,42,40.5,25,19,5,14,15,46,19,0,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,9,4,9,0,0,5,6,83.3,1,16,12,4,16,25,79,0,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,11,4,1,8,2,5,11,45.5,6,11,4,7,5,16,4,0,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,30,13,20,7,3,13,21,61.9,8,35,25,10,29,59,77,0,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,6,2,1,4,1,2,4,50.0,2,5,2,3,1,7,1,0,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,2,2,2,0,0,0,2,0.0,2,0,0,0,2,4,1,0,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,40,21,21,15,4,20,36,55.6,16,20,4,16,23,63,7,0,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,26,13,10,12,4,8,25,32.0,17,12,2,10,18,44,12,0,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,2,0,1,0,1,1,1,100.0,0,8,1,7,1,3,4,0,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,92,51,37,45,10,31,75,41.3,44,24,3,21,26,118,32,0,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,39,21,28,10,1,17,29,58.6,12,45,30,15,48,87,97,0,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,12,8,4,5,3,3,15,20.0,12,9,0,9,4,16,9,0,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,5,3,2,3,0,1,8,12.5,7,5,0,5,2,7,6,0,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,3,3,2,0,1,0,1,0.0,1,2,0,2,1,4,6,0,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,15,9,6,6,3,8,23,34.8,15,9,2,7,15,30,10,0,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,8,3,1,3,4,1,6,16.7,5,7,1,6,3,11,10,0,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,2,0,0,2,0,0,2,0.0,2,1,0,1,1,3,4,0,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,57,35,30,23,4,30,45,66.7,15,21,4,17,27,84,24,1,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,6,2,2,4,0,2,9,22.2,7,2,0,2,3,9,1,0,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,2,1,1,0,1,1,4,25.0,3,0,0,0,0,2,1,0,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,16,9,2,9,5,9,18,50.0,9,10,0,10,4,20,5,0,Matches,69896b0e
274,Habraão,br BRA,DF,Fortaleza,20,2001,2.4,5,2,4,1,0,4,5,80.0,1,9,8,1,1,6,20,0,Matches,1e329d13
275,Lucas Halter,br BRA,DF,Atl Paranaense,21,2000,1.1,0,0,0,0,0,0,1,0.0,1,2,0,2,2,2,6,0,Matches,7aa882a2
276,Lucas Halter,br BRA,DF,Goiás,21,2000,11.9,13,7,9,3,1,8,11,72.7,3,21,18,3,9,22,61,1,Matches,7aa882a2
277,Hayner,br BRA,DF,Atl Goianiense,26,1995,15.3,14,10,8,2,4,8,17,47.1,9,10,4,6,22,36,46,0,Matches,246c7429
278,Heitor,br BRA,DF,Internacional,21,2000,4.4,17,13,8,8,1,11,17,64.7,6,3,1,2,9,26,4,0,Matches,e0839492
279,Thiago Heleno,br BRA,DF,Atl Paranaense,33,1988,12.7,12,6,8,4,0,8,14,57.1,6,12,10,2,23,35,34,1,Matches,827422f9
280,Helinho,br BRA,FWMF,Bragantino,21,2000,19.0,28,15,15,8,5,16,33,48.5,17,28,1,27,19,47,20,0,Matches,5837cb60
281,Henrique,br BRA,DF,Coritiba,35,1986,17.9,19,12,16,3,0,13,18,72.2,5,30,25,5,21,40,71,0,Matches,429163de
282,Arthur Henrique,br BRA,DF,Atl Goianiense,27,1994,10.7,33,19,21,9,3,19,33,57.6,14,8,3,5,16,49,28,0,Matches,ae46bd26
283,Bruno Henrique,br BRA,FWMF,Flamengo,31,1990,6.8,12,8,4,6,2,4,9,44.4,5,5,0,5,4,16,7,0,Matches,5edff24f
284,Daniel Henrique,br BRA,FW,Ceará,17,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1ef923db
285,Gustavo Henrique,br BRA,DF,Flamengo,28,1993,3.8,4,3,3,1,0,2,4,50.0,2,7,6,1,5,9,27,0,Matches,fa066690
286,Luis Henrique,br BRA,FWMF,Botafogo (RJ),20,2001,2.9,5,1,3,0,2,3,3,100.0,0,4,0,4,3,8,1,0,Matches,f36d5624
287,Luiz Henrique,br BRA,FWMF,Fluminense,21,2001,11.7,30,19,11,10,9,13,23,56.5,10,16,3,13,9,39,10,0,Matches,8059806f
288,Paulo Henrique,br BRA,DFMF,Juventude,25,1996,16.7,47,27,30,13,4,20,37,54.1,17,11,0,11,11,58,26,0,Matches,25a0cb08
289,Pedro Henrique,br BRA,DF,Atl Paranaense,26,1995,25.6,44,24,30,12,2,28,41,68.3,13,38,27,11,42,86,130,1,Matches,4322e5d7
290,Pedro Henrique,br BRA,FWMF,Internacional,31,1990,17.7,33,21,19,12,2,18,31,58.1,13,8,0,8,9,42,15,0,Matches,460976a2
291,Hércules,br BRA,MFFW,Fortaleza,21,2000,15.2,38,16,19,17,2,13,36,36.1,23,23,3,20,10,48,9,0,Matches,eadc7b45
292,Nicolás Hernández,co COL,DF,Atl Paranaense,24,1998,18.0,32,17,21,11,0,21,27,77.8,6,30,15,15,22,54,67,0,Matches,86046c18
293,Hugo,br BRA,DFMF,Goiás,24,1997,7.8,15,11,9,4,2,6,13,46.2,7,9,2,7,11,26,29,0,Matches,bd2593f3
294,Hugo,br BRA,DFMF,Botafogo (RJ),20,2001,12.2,30,19,18,9,3,16,26,61.5,10,15,1,14,20,50,27,0,Matches,de3dc682
295,José Hugo,br BRA,FWMF,Coritiba,22,1999,4.4,8,5,6,1,1,5,8,62.5,3,6,0,6,1,9,2,0,Matches,d0f01217
296,Victor Hugo,br BRA,MF,Flamengo,17,2004,13.9,24,11,7,13,4,10,26,38.5,16,8,3,5,11,35,20,0,Matches,33fca7f7
297,Vitor Hugo,br BRA,FW,Goiás,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,217f53a6
298,Hulk,br BRA,FW,Atlético Mineiro,35,1986,23.2,11,6,0,7,4,4,17,23.5,13,4,0,4,3,14,12,0,Matches,33a1f72e
299,José Hurtado,ec ECU,DF,Bragantino,20,2001,6.6,19,11,12,4,3,13,16,81.3,3,6,3,3,5,24,13,0,Matches,cb067e96
300,Hyoran,br BRA,MF,Bragantino,28,1993,14.2,22,16,9,9,4,7,21,33.3,14,17,3,14,10,32,7,0,Matches,ffb88c28
301,Igor,br BRA,MFFW,Flamengo,18,2003,0.3,4,0,3,1,0,0,1,0.0,1,1,1,0,0,4,0,0,Matches,fb19d550
302,André Inácio,br BRA,FW,Flamengo,19,2002,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,cc77d69c
303,Mauricio Isla,cl CHI,DF,Flamengo,33,1988,3.8,3,3,1,2,0,3,3,100.0,0,3,1,2,6,9,6,0,Matches,de4517dd
304,Jadsom,br BRA,MF,Bragantino,20,2001,14.1,26,18,17,8,1,14,33,42.4,19,22,8,14,34,60,25,0,Matches,92859e80
305,Jadson,br BRA,MF,Juventude,28,1993,29.1,64,46,28,28,8,28,55,50.9,27,23,6,17,24,88,19,1,Matches,05748af4
306,Jailson,br BRA,GK,América (MG),40,1981,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches,01f7b8c3
307,Jair,br BRA,MF,Atlético Mineiro,27,1994,23.0,65,41,25,31,9,28,51,54.9,23,37,4,33,32,97,10,0,Matches,f3466edc
308,Jandrei,br BRA,GK,São Paulo,28,1993,18.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,Matches,85ea4399
309,Vinícius Jaú,br BRA,MF,Avaí,23,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,192d3898
310,Pablo Javier García,uy URU,FW,Coritiba,22,1999,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,895321cd
311,Jean,br BRA,MF,Juventude,27,1994,13.1,48,30,24,20,4,31,61,50.8,30,21,11,10,39,87,35,0,Matches,69a34ec0
312,Jefferson,br BRA,DF,Atl Goianiense,25,1997,25.3,35,22,15,13,7,12,31,38.7,19,30,8,22,23,58,71,1,Matches,9df5f945
313,Jefferson,br BRA,FW,Botafogo (RJ),22,1999,17.8,30,16,9,12,9,13,41,31.7,28,24,2,22,12,42,4,0,Matches,45cce300
314,Jemerson,br BRA,DF,Atlético Mineiro,29,1992,11.1,18,8,10,7,1,10,14,71.4,4,9,4,5,10,28,33,0,Matches,7cab69b5
315,Jenison,br BRA,FW,Cuiabá,30,1991,3.6,1,1,0,1,0,0,2,0.0,2,3,0,3,2,3,5,0,Matches,767e6b7f
316,Alexandre Jesus,br BRA,MFDF,Fluminense,20,2001,0.7,0,0,0,0,0,0,0,,0,0,0,0,5,5,0,0,Matches,25a323f3
317,Jô,br BRA,FW,Ceará,34,1987,8.7,2,1,1,1,0,0,0,,0,4,1,3,2,4,13,0,Matches,e47d11f8
318,Jô,br BRA,FW,Corinthians,34,1987,2.2,1,1,0,0,1,0,2,0.0,2,1,0,1,1,2,7,0,Matches,e47d11f8
319,Joaquim,br BRA,DF,Cuiabá,23,1998,23.9,41,28,31,8,2,25,35,71.4,10,26,14,12,36,77,127,1,Matches,69e5e199
320,John,br BRA,GK,Santos,25,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,33a235af
321,Jonas,br BRA,MF,São Paulo,22,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,32794a5b
322,Felipe Jonatan,br BRA,DF,Santos,23,1998,23.0,28,17,16,11,1,16,23,69.6,7,13,7,6,34,62,70,0,Matches,0102ca7f
323,Jonathan,br BRA,DF,Botafogo (RJ),23,1998,0.5,1,1,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches,f3f60814
324,Jorge,br BRA,DF,Palmeiras,25,1996,5.2,15,8,3,10,2,6,16,37.5,10,8,1,7,3,18,10,0,Matches,13c44fc5
325,Jorginho,br BRA,MF,Atl Goianiense,31,1991,18.2,33,18,11,13,9,10,28,35.7,18,16,1,15,6,39,26,0,Matches,1f809750
326,Jhojan Julio,ec ECU,FWMF,Santos,23,1998,9.2,24,13,11,9,4,4,17,23.5,13,11,2,9,9,33,5,0,Matches,b1fc89f5
327,Juninho,br BRA,MF,América (MG),35,1986,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2cc16e46
328,Juninho,br BRA,MF,América (MG),34,1987,34.5,45,28,20,17,8,19,39,48.7,20,46,14,32,31,76,34,0,Matches,7d10ca2e
329,Renato Junior,br BRA,FWMF,Goiás,19,2002,5.5,13,4,3,6,4,5,8,62.5,3,8,0,8,2,15,5,0,Matches,80b72720
330,Jussa,br BRA,MFDF,Fortaleza,25,1996,7.0,2,1,1,1,0,1,10,10.0,9,10,0,10,8,10,10,0,Matches,883f5dc8
331,Kaiky,br BRA,DF,Santos,18,2004,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,5,0,Matches,55634fb8
332,Lucas Kal,br BRA,MF,América (MG),25,1996,24.0,38,19,15,19,4,13,34,38.2,21,27,8,19,32,70,49,0,Matches,33ed689d
333,Kanu,br BRA,DF,Botafogo (RJ),24,1997,16.1,19,10,14,5,0,9,16,56.3,7,15,12,3,23,42,67,0,Matches,fefa9b9a
334,Alan Kardec,br BRA,FWMF,Atlético Mineiro,33,1989,2.9,1,1,1,0,0,0,1,0.0,1,3,0,3,0,1,2,0,Matches,e7fba767
335,Kauan,br BRA,FW,Bragantino,18,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches,34375e0b
336,Kawê,br BRA,MFFW,América (MG),19,2002,0.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0,Matches,f1bca9ec
337,Kayque,br BRA,MF,Botafogo (RJ),21,2000,3.1,6,5,1,5,0,1,7,14.3,6,6,0,6,2,8,1,0,Matches,54b980d6
338,Renato Kayser,br BRA,FW,Fortaleza,25,1996,1.8,2,0,2,0,0,1,4,25.0,3,2,0,2,0,2,1,0,Matches,c7495dda
339,Gabriel Kazu,br BRA,MF,Avaí,22,1999,0.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches,42430d76
340,Keiller,br BRA,GK,Internacional,25,1996,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,0,Matches,e38fde76
341,Thalisson Kelven,br BRA,DF,Juventude,23,1998,20.0,17,13,14,2,1,11,16,68.8,5,34,27,7,31,48,109,0,Matches,18e87471
342,Kelvi,br BRA,MF,Juventude,19,2002,0.5,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,Matches,33143d85
343,Kelvin,br BRA,MFFW,Atl Goianiense,24,1997,3.4,3,3,0,3,0,2,4,50.0,2,1,0,1,1,4,4,0,Matches,b8dab818
344,Kelvyn,br BRA,FWDF,Ceará,22,1999,0.6,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches,8b992778
345,John Kennedy,br BRA,FWMF,Fluminense,19,2002,1.6,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,132880e0
346,Keno,br BRA,FWMF,Atlético Mineiro,32,1989,20.6,42,20,11,20,11,15,29,51.7,14,28,4,24,3,45,8,0,Matches,98558c11
347,Kevin,br BRA,DF,Avaí,24,1997,29.2,61,40,37,20,4,31,67,46.3,36,32,7,25,37,98,73,1,Matches,1f07666f
348,Khellven,br BRA,DF,Atl Paranaense,20,2001,23.4,50,25,29,18,3,23,42,54.8,19,24,8,16,39,89,69,0,Matches,cf18ab1b
349,Willian Klaus,br BRA,DF,Atl Goianiense,28,1994,6.0,5,3,4,1,0,4,6,66.7,2,2,2,0,8,13,38,0,Matches,ddc86898
350,Willian Klaus,br BRA,DF,Botafogo (RJ),28,1994,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,9,0,Matches,ddc86898
351,Benjamín Kuscevic,cl CHI,DF,Palmeiras,25,1996,3.3,10,4,7,3,0,3,3,100.0,0,2,1,1,9,19,4,0,Matches,9edddc34
352,Gabriel Lacerda,br BRA,DF,Ceará,22,1999,20.0,21,14,18,3,0,8,18,44.4,10,22,16,6,21,42,86,0,Matches,0664b5a6
