Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
506,Bruno Pacheco,br BRA,DF,Ceará,30,1991,26.1,,,,,,,,,,,,,,,2,,,,,,,,,Matches,9b7976e6
507,Igor Paixão,br BRA,FWMF,Coritiba,21,2000,17.2,339,493,68.8,5623,1478,186,221,84.2,105,149,70.5,37,90,41.1,4,5.5,3.6,-1.5,32,24,17,5,36,Matches,089c7323
508,Pará,br BRA,MF,Juventude,19,2002,0.9,29,37,78.4,452,123,12,12,100.0,13,15,86.7,2,5,40.0,0,0.0,0.0,0.0,0,6,0,0,2,Matches,5b1cd0cc
509,Nino Paraíba,br BRA,DF,Ceará,36,1986,24.6,839,1212,69.2,14206,6255,452,529,85.4,280,383,73.1,95,220,43.2,1,3.4,4.2,-2.4,41,81,46,38,100,Matches,403ef062
510,Guilherme Parede,br BRA,FWMF,Juventude,26,1995,6.6,,,,,,,,,,,,,,,1,,,,,,,,,Matches,2da1c94c
511,Weslley Patati,br BRA,FW,Santos,18,2003,0.2,,,,,,,,,,,,,,,0,,,,,,,,,Matches,0df16cd7
512,Patrick,br BRA,MFFW,São Paulo,29,1992,21.8,591,759,77.9,8745,2021,342,382,89.5,195,244,79.9,33,55,60.0,4,3.5,3.6,+0.5,31,46,23,12,72,Matches,92add14e
513,Alan Patrick,br BRA,MFFW,Internacional,30,1991,17.5,735,880,83.5,11649,2986,398,445,89.4,270,303,89.1,54,91,59.3,4,2.9,3.0,+1.1,49,72,30,2,114,Matches,00672021
514,Luan Patrick,br BRA,DF,América (MG),20,2002,9.0,274,335,81.8,5390,1877,102,121,84.3,123,141,87.2,45,65,69.2,0,0.4,0.5,-0.4,7,29,10,6,27,Matches,dd5d1c85
515,Patryck,br BRA,DF,São Paulo,19,2003,0.3,8,15,53.3,126,39,4,8,50.0,4,7,57.1,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches,8dcbd7af
516,Giuliano de Paula,br BRA,MF,Corinthians,31,1990,18.4,944,1077,87.7,12522,2856,581,631,92.1,259,288,89.9,37,61,60.7,2,2.6,1.5,-0.6,32,75,6,0,102,Matches,ab1b205d
517,Patrick de Paula,br BRA,MF,Botafogo (RJ),22,1999,11.3,354,463,76.5,7143,2249,122,158,77.2,169,200,84.5,55,88,62.5,0,0.2,0.4,-0.2,4,40,3,1,47,Matches,9f12fbb7
518,Paulão,br BRA,DF,Cuiabá,35,1986,8.0,198,254,78.0,4129,1870,51,65,78.5,116,128,90.6,31,59,52.5,0,0.1,0.0,-0.1,1,6,0,0,6,Matches,20587790
519,Paulinho,br BRA,FWMF,América (MG),23,1998,3.2,50,78,64.1,698,201,29,36,80.6,10,20,50.0,5,11,45.5,1,0.7,0.3,+0.3,7,4,3,1,3,Matches,bc486f0e
520,Paulinho,br BRA,MF,Corinthians,33,1988,1.8,84,90,93.3,1177,250,49,51,96.1,28,30,93.3,3,3,100.0,0,0.0,0.1,0.0,1,7,1,0,8,Matches,bb7337cc
521,Caio Paulista,br BRA,DF,Fluminense,23,1998,17.9,787,944,83.4,10084,2355,537,591,90.9,206,248,83.1,11,25,44.0,3,2.0,2.3,+1.0,20,35,17,7,55,Matches,701bb051
522,Wellington Paulista,br BRA,FW,América (MG),37,1984,5.7,76,118,64.4,1101,342,44,62,71.0,24,34,70.6,5,9,55.6,0,0.1,0.6,-0.1,1,13,7,0,22,Matches,f2eece5b
523,João Paulo,br BRA,DF,América (MG),35,1986,3.9,132,183,72.1,2204,1087,62,74,83.8,57,75,76.0,10,23,43.5,0,0.2,0.2,-0.2,4,8,3,3,15,Matches,ce208556
524,João Paulo,br BRA,GK,Santos,26,1995,37.0,686,962,71.3,17261,12489,159,159,100.0,330,337,97.9,178,442,40.3,0,0.0,0.1,0.0,0,9,2,0,2,Matches,d0102ca0
525,Marcos Paulo,br BRA,DF,Flamengo,19,2003,0.3,13,23,56.5,196,120,7,11,63.6,6,8,75.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches,4dd6bb79
526,Cristian Pavón,ar ARG,FWMF,Atlético Mineiro,26,1996,7.7,256,338,75.7,4532,1103,135,160,84.4,82,105,78.1,32,50,64.0,0,0.8,1.0,-0.8,12,19,12,3,34,Matches,a664b026
527,Pedrinho,br BRA,FWMF,América (MG),22,1999,10.8,230,330,69.7,3822,889,127,155,81.9,72,100,72.0,24,38,63.2,2,1.6,1.3,+0.4,20,11,13,2,41,Matches,035341ba
528,Pedrinho,br BRA,DFFW,Atl Paranaense,19,2002,15.4,474,663,71.5,8935,2953,198,220,90.0,208,265,78.5,61,147,41.5,2,1.2,1.1,+0.8,17,48,14,7,62,Matches,64aadf6b
529,Pedrinho,br BRA,MFFW,Atlético Mineiro,23,1998,2.5,118,146,80.8,1630,493,64,72,88.9,44,54,81.5,3,8,37.5,0,0.1,0.7,-0.1,5,18,3,0,17,Matches,6796e284
530,Pedrinho,br BRA,FW,Flamengo,18,2003,0.1,3,3,100.0,51,0,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,118d25ee
531,Pedro,br BRA,FW,Flamengo,24,1997,13.0,135,188,71.8,1587,368,85,108,78.7,32,45,71.1,3,9,33.3,3,2.9,1.5,+0.1,16,11,6,0,20,Matches,1ab6fad3
532,João Pedro,br BRA,DFFW,Corinthians,25,1996,1.3,30,46,65.2,439,237,23,27,85.2,5,9,55.6,2,7,28.6,0,0.0,0.0,0.0,0,4,2,0,6,Matches,31d1ed52
533,João Pedro Pepê,br BRA,MF,Cuiabá,24,1998,25.8,975,1188,82.1,17974,4888,449,496,90.5,365,426,85.7,141,207,68.1,0,2.9,2.9,-2.9,43,126,25,5,159,Matches,d75471eb
534,Peglow,br BRA,FWMF,Atl Goianiense,20,2002,2.6,88,112,78.6,1364,369,45,49,91.8,34,42,81.0,6,13,46.2,1,0.5,0.7,+0.5,5,6,3,0,14,Matches,8a861bc5
535,Pegorari,br BRA,GK,Juventude,30,1991,12.7,286,385,74.3,8127,5567,48,48,100.0,122,126,96.8,110,204,53.9,0,0.0,0.0,0.0,1,4,0,0,0,Matches,2ad9d2e3
536,Matheus Peixoto,br BRA,FW,Ceará,26,1995,5.2,63,100,63.0,846,143,36,51,70.6,20,33,60.6,3,4,75.0,1,0.7,0.1,+0.3,7,6,1,1,6,Matches,05160796
537,Douglas Pelé,br BRA,FWDF,Goiás,22,1999,1.0,13,18,72.2,228,110,6,6,100.0,5,8,62.5,2,2,100.0,0,0.1,0.2,-0.1,2,1,2,1,1,Matches,7c6ac38f
538,Léo Pelé,br BRA,DF,São Paulo,25,1996,27.6,1386,1591,87.1,27703,10397,465,510,91.2,720,781,92.2,184,255,72.2,0,0.2,0.8,-0.2,7,233,8,4,197,Matches,77980eb9
539,Carlos de Pena,uy URU,MFFW,Internacional,29,1992,29.3,1272,1735,73.3,22762,7705,588,696,84.5,513,660,77.7,148,288,51.4,6,7.4,6.7,-1.4,62,187,33,9,210,Matches,6b915aa1
540,Andreas Pereira,br BRA,MF,Flamengo,26,1996,8.8,347,464,74.8,6106,1987,154,177,87.0,143,173,82.7,39,83,47.0,1,0.7,1.5,+0.3,12,51,12,5,64,Matches,6639e500
541,Egídio Pereira Júnior,br BRA,DFMF,Coritiba,35,1986,14.0,564,772,73.1,9638,3622,263,294,89.5,233,297,78.5,52,127,40.9,2,1.7,2.4,+0.3,23,42,22,15,57,Matches,6c5b3d31
542,Léo Pereira,br BRA,DF,Flamengo,26,1996,12.4,827,916,90.3,15828,5262,281,303,92.7,455,479,95.0,84,117,71.8,1,1.6,1.0,-0.6,6,96,6,1,76,Matches,bd247251
543,Hernán Pérez,py PAR,FW,Coritiba,32,1989,1.1,18,32,56.3,264,40,7,9,77.8,9,14,64.3,1,5,20.0,0,0.1,0.0,-0.1,1,1,0,0,0,Matches,e1cea3f7
544,Lucas Perri,br BRA,GK,Botafogo (RJ),24,1997,3.8,69,117,59.0,2318,1802,7,8,87.5,26,28,92.9,34,77,44.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches,5dbd461a
545,Petterson,br BRA,FWMF,Flamengo,18,2004,0.3,7,8,87.5,121,11,2,2,100.0,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,9943597e
546,Yan Phillipe,br BRA,FW,Atlético Mineiro,17,2004,0.2,10,13,76.9,121,9,9,10,90.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches,03d01a35
547,Del Piage,br BRA,MF,Botafogo (RJ),21,2000,5.7,153,205,74.6,2560,702,70,83,84.3,68,80,85.0,10,24,41.7,0,0.2,0.1,-0.2,6,19,2,1,17,Matches,679ca46d
548,Lucas Piazon,br BRA,FWMF,Botafogo (RJ),28,1994,8.3,240,305,78.7,3300,791,144,165,87.3,79,89,88.8,8,25,32.0,0,0.7,1.0,-0.7,17,10,4,0,30,Matches,f201798c
549,Yago Pikachu,br BRA,DFMF,Fortaleza,29,1992,13.4,378,510,74.1,6600,2288,182,206,88.3,141,177,79.7,45,86,52.3,0,1.5,1.3,-1.5,20,38,16,3,53,Matches,462f1e13
550,Mario Pineida,ec ECU,DF,Fluminense,29,1992,3.7,184,217,84.8,2492,832,105,111,94.6,64,78,82.1,6,13,46.2,0,0.2,0.6,-0.2,3,7,3,0,18,Matches,2990a468
551,Joaquín Piquerez,uy URU,DF,Palmeiras,23,1998,24.7,1081,1316,82.1,18732,5514,487,540,90.2,489,560,87.3,89,156,57.1,2,2.2,2.5,-0.2,21,106,11,4,121,Matches,46009f44
552,Gabriel Pirani,br BRA,FWMF,Santos,19,2002,0.5,12,19,63.2,168,46,8,12,66.7,3,5,60.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,2,Matches,17205abf
553,Gabriel Pirani,br BRA,MFFW,Cuiabá,19,2002,4.9,99,134,73.9,1534,314,45,53,84.9,43,52,82.7,6,10,60.0,0,0.4,0.6,-0.4,9,6,6,1,14,Matches,17205abf
554,Felipe Pires,br BRA,MFFW,Juventude,26,1995,7.4,204,243,84.0,3176,736,112,121,92.6,80,94,85.1,10,17,58.8,2,0.4,0.4,+1.6,9,9,7,1,32,Matches,2cd3d3ce
555,Rafael Pires,br BRA,GK,Atlético Mineiro,32,1989,1.0,17,18,94.4,354,226,5,5,100.0,11,11,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,539f6761
556,Lucas Piton,br BRA,DFFW,Corinthians,21,2000,19.7,902,1157,78.0,13433,5081,542,581,93.3,276,365,75.6,58,126,46.0,3,1.9,2.0,+1.1,21,66,22,12,84,Matches,defce7f1
557,Isidro Pitta,py PAR,FW,Juventude,22,1999,26.8,361,522,69.2,5304,952,199,265,75.1,125,169,74.0,20,35,57.1,2,1.1,1.9,+0.9,17,19,5,0,42,Matches,e9fc7295
558,Luan Polli,br BRA,GK,Atl Goianiense,28,1993,2.0,50,61,82.0,1297,750,7,7,100.0,30,30,100.0,13,24,54.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches,96aa89c4
559,Diego Porfirio,br BRA,DF,Coritiba,22,1999,5.0,184,238,77.3,3068,1590,84,95,88.4,77,99,77.8,18,30,60.0,0,0.1,0.1,-0.1,2,19,2,1,14,Matches,8512d219
560,William Pottker,br BRA,FWMF,Avaí,28,1993,21.9,579,755,76.7,8513,1856,337,399,84.5,176,226,77.9,37,65,56.9,1,4.0,4.2,-3.0,39,28,28,9,63,Matches,214a16c5
561,Bruno Praxedes,br BRA,MF,Bragantino,19,2002,6.5,227,268,84.7,4137,954,101,111,91.0,90,102,88.2,31,45,68.9,2,0.8,0.8,+1.2,9,24,5,1,32,Matches,5dd520a8
562,Erick Pulgar,cl CHI,MF,Flamengo,28,1994,3.9,241,283,85.2,4105,1264,111,122,91.0,102,115,88.7,21,32,65.6,0,0.3,0.7,-0.3,4,27,4,1,20,Matches,4611e028
563,Jean Pyerre,br BRA,MF,Avaí,23,1998,8.4,510,611,83.5,8274,2021,247,283,87.3,208,236,88.1,41,66,62.1,0,0.3,0.8,-0.3,10,83,7,0,86,Matches,b41dc073
564,Du Queiroz,br BRA,MF,Corinthians,22,2000,28.9,1239,1444,85.8,20044,4566,630,697,90.4,478,534,89.5,94,135,69.6,2,1.6,1.3,+0.4,25,124,16,4,118,Matches,8440b0cb
565,Igor Rabello,br BRA,DF,Atlético Mineiro,26,1995,6.7,375,411,91.2,6728,2406,146,155,94.2,199,213,93.4,28,36,77.8,1,0.1,0.2,+0.9,2,26,0,0,22,Matches,48048864
566,Rafael,br BRA,DF,Botafogo (RJ),31,1990,3.1,132,154,85.7,2146,952,66,70,94.3,49,55,89.1,13,23,56.5,0,0.8,0.8,-0.8,7,4,6,3,12,Matches,9a1f2e1c
567,Caio Rafael,br BRA,FW,Ceará,17,2004,0.4,10,12,83.3,202,55,1,2,50.0,6,6,100.0,2,2,100.0,0,0.2,0.0,-0.2,1,0,0,0,0,Matches,b7cda839
568,Léo Rafael,br BRA,FWMF,Ceará,20,2001,1.0,47,55,85.5,718,92,26,29,89.7,16,18,88.9,3,4,75.0,0,0.2,0.2,-0.2,3,1,0,0,1,Matches,ef1df474
569,Zé Rafael,br BRA,MF,Palmeiras,28,1993,28.5,1051,1209,86.9,18764,3460,423,463,91.4,480,531,90.4,110,146,75.3,1,2.6,1.9,-1.6,26,91,16,3,97,Matches,634b1413
570,Rafinha,br BRA,DF,São Paulo,36,1985,28.5,1819,2069,87.9,34338,12635,767,806,95.2,801,886,90.4,239,326,73.3,3,1.5,2.9,+1.5,15,233,29,9,216,Matches,d003e213
571,Eric Ramires,br BRA,MFFW,Bragantino,21,2000,12.9,461,539,85.5,7759,1848,219,232,94.4,190,218,87.2,37,54,68.5,0,1.5,1.3,-1.5,10,48,5,1,64,Matches,37faa4cb
572,Lucas Ramires,br BRA,DF,Juventude,19,2002,0.3,8,12,66.7,165,75,3,3,100.0,3,4,75.0,2,4,50.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,32395c13
573,Ramon,br BRA,DF,Bragantino,20,2001,8.0,309,435,71.0,5198,2177,130,156,83.3,149,189,78.8,20,60,33.3,0,0.5,0.3,-0.5,5,25,3,0,32,Matches,fdf88bc0
574,Lucas Ramos,br BRA,MFFW,Internacional,21,2001,0.9,28,32,87.5,437,148,13,14,92.9,13,13,100.0,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3,Matches,c0163100
575,Rafael Ramos,pt POR,DF,Corinthians,27,1995,14.5,667,873,76.4,10919,4255,339,381,89.0,258,327,78.9,54,113,47.8,1,1.3,1.1,-0.3,11,50,13,4,50,Matches,f8ddf51c
576,Raniele,br BRA,MFDF,Avaí,25,1996,31.3,1194,1543,77.4,24025,8229,370,450,82.2,649,745,87.1,156,265,58.9,0,0.9,1.3,-0.9,13,101,13,1,110,Matches,a025365f
577,Wellington Rato,br BRA,FWMF,Atl Goianiense,29,1992,30.9,903,1209,74.7,17107,3915,408,479,85.2,338,429,78.8,135,228,59.2,3,3.9,4.0,-0.9,51,96,34,10,142,Matches,598917cf
578,Raul,br BRA,MF,Bragantino,25,1996,27.5,1323,1557,85.0,26102,8158,485,546,88.8,627,679,92.3,182,272,66.9,0,1.6,1.8,-1.6,14,170,17,2,161,Matches,c2f9cf65
579,Pedro Raul,br BRA,FW,Goiás,25,1996,30.5,302,474,63.7,4021,879,190,260,73.1,80,130,61.5,13,22,59.1,2,1.8,1.4,+0.2,25,29,8,0,42,Matches,ed074559
580,Leonardo Realpe,ec ECU,DF,Bragantino,20,2001,7.4,310,352,88.1,6306,2003,96,105,91.4,169,177,95.5,41,64,64.1,0,0.1,0.1,-0.1,3,26,1,1,30,Matches,57701cbd
581,Rafinha Rech,br BRA,FWMF,Juventude,19,2002,4.2,92,118,78.0,1278,172,56,62,90.3,30,39,76.9,3,7,42.9,0,0.1,0.1,-0.1,3,5,2,0,6,Matches,a8f19786
582,Régis,br BRA,MF,Coritiba,29,1992,8.5,206,268,76.9,3670,1036,82,95,86.3,97,116,83.6,23,39,59.0,2,1.7,0.8,+0.3,15,28,8,2,37,Matches,0e2331f3
583,Reinaldo,br BRA,DFFW,São Paulo,32,1989,16.3,608,897,67.8,12390,5017,240,278,86.3,256,341,75.1,106,229,46.3,5,3.2,4.5,+1.8,40,70,34,17,108,Matches,ab3edc87
584,César Reis,br BRA,GK,Juventude,26,1995,24.3,518,715,72.4,14072,9429,92,93,98.9,272,277,98.2,146,334,43.7,0,0.0,0.0,0.0,0,7,0,0,0,Matches,76d4135b
585,Renan,br BRA,DF,Bragantino,19,2002,3.2,111,140,79.3,2430,800,24,33,72.7,69,78,88.5,16,24,66.7,0,0.0,0.0,0.0,0,3,0,0,5,Matches,80c738be
586,Robert Renan,br BRA,DF,Corinthians,18,2003,10.0,439,518,84.7,8291,3014,150,165,90.9,241,253,95.3,39,82,47.6,0,0.0,0.1,0.0,0,31,1,0,24,Matches,168a2e81
587,Renato,br BRA,DFMF,Avaí,32,1990,11.3,351,467,75.2,5484,2076,199,219,90.9,118,143,82.5,26,75,34.7,0,1.7,0.8,-1.7,18,19,7,5,29,Matches,8fe5bdcd
588,Renê,br BRA,DF,Internacional,29,1992,27.5,1481,1795,82.5,25570,11499,681,764,89.1,617,726,85.0,154,223,69.1,1,1.5,2.2,-0.5,19,172,24,6,173,Matches,d000ffc7
589,Réver,br BRA,DF,Atlético Mineiro,37,1985,10.5,674,770,87.5,12856,5230,250,267,93.6,350,380,92.1,67,113,59.3,0,0.1,0.2,-0.1,2,30,2,0,31,Matches,1938fd6a
590,Rhaldney,br BRA,MFFW,Atl Goianiense,23,1998,2.0,70,91,76.9,1383,473,24,34,70.6,35,41,85.4,10,11,90.9,0,0.0,0.0,0.0,1,7,0,0,16,Matches,ae3ef77f
591,Everton Ribeiro,br BRA,MFFW,Flamengo,32,1989,19.9,939,1152,81.5,14639,4492,504,586,86.0,345,401,86.0,61,104,58.7,4,4.9,4.2,-0.9,40,105,52,11,177,Matches,68fb50a2
592,Lucas Ribeiro,br BRA,DFMF,Ceará,23,1999,5.6,248,270,91.9,5653,1818,59,63,93.7,131,138,94.9,56,63,88.9,0,0.0,0.1,0.0,1,17,2,0,23,Matches,607d64c6
593,Matheus Ribeiro,br BRA,DF,Avaí,28,1993,0.2,0,2,0.0,0,0,0,1,0.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,7ae055bb
594,Wesley Ribeiro,br BRA,MFFW,Corinthians,16,2005,0.1,7,7,100.0,71,10,7,7,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,acf5672b
595,Ricardinho,br BRA,FW,Atl Goianiense,20,2001,2.6,38,50,76.0,427,44,33,38,86.8,4,9,44.4,0,0,,0,0.3,0.1,-0.3,2,0,2,0,2,Matches,45a1777c
596,João Ricardo Riedi,br BRA,GK,Ceará,33,1988,35.0,739,1047,70.6,23108,17494,95,96,99.0,310,319,97.2,327,618,52.9,0,0.0,0.0,0.0,2,14,0,0,1,Matches,4729d71a
597,Vitor Ricardo,br BRA,DF,Fortaleza,21,2000,1.3,46,61,75.4,774,237,22,27,81.5,18,21,85.7,5,11,45.5,0,0.1,0.1,-0.1,2,5,2,1,5,Matches,1f3906c9
598,Zé Ricardo,br BRA,MF,América (MG),25,1996,2.6,120,154,77.9,2247,576,46,51,90.2,56,69,81.2,15,24,62.5,0,0.0,0.1,0.0,1,8,2,0,13,Matches,352f938e
599,Richard,br BRA,GK,Ceará,30,1991,1.0,20,23,87.0,486,289,3,3,100.0,13,13,100.0,4,7,57.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches,f2c12e8d
600,Richard,br BRA,MF,Ceará,27,1994,26.3,1142,1332,85.7,20060,5032,522,595,87.7,446,498,89.6,133,158,84.2,1,0.9,1.0,+0.1,12,96,12,1,123,Matches,e90aa5da
601,Richardson,br BRA,MF,Ceará,30,1991,23.0,811,960,84.5,15497,4447,314,351,89.5,367,407,90.2,110,150,73.3,0,0.5,0.5,-0.5,13,91,7,0,109,Matches,ef6b8a6b
602,Rickson,br BRA,MFFW,Atl Goianiense,23,1998,0.8,26,35,74.3,394,97,13,15,86.7,11,14,78.6,1,2,50.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches,96a35d1b
603,Emiliano Rigoni,ar ARG,FWMF,São Paulo,28,1993,2.7,99,150,66.0,2061,508,35,47,74.5,40,51,78.4,20,40,50.0,0,0.4,0.7,-0.4,6,5,6,4,13,Matches,a1216563
604,Rikelme,br BRA,DF,Cuiabá,18,2003,0.2,11,15,73.3,147,42,7,8,87.5,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches,637cdc49
605,Rikelmi,br BRA,DF,Botafogo (RJ),20,2001,0.0,3,4,75.0,59,3,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,b2ffcf77
606,Cristian Rivas,ve VEN,MF,Cuiabá,25,1997,2.4,104,115,90.4,1840,573,44,49,89.8,47,48,97.9,11,13,84.6,0,0.2,0.3,-0.2,3,12,2,1,16,Matches,bc4d05c0
607,Zé Roberto,br BRA,FW,Ceará,28,1993,8.2,137,185,74.1,1794,423,91,110,82.7,27,40,67.5,7,12,58.3,1,1.8,0.9,-0.8,11,10,3,0,20,Matches,810033a1
608,Robinho,br BRA,MF,Coritiba,34,1987,9.8,484,649,74.6,9088,3370,204,242,84.3,193,242,79.8,70,132,53.0,2,1.7,1.9,+0.3,26,74,22,4,109,Matches,8f8809b9
609,Robson,br BRA,FWMF,Fortaleza,30,1991,16.1,221,347,63.7,3487,935,136,183,74.3,50,81,61.7,27,44,61.4,4,2.7,0.9,+1.3,23,26,14,2,38,Matches,e29eff7a
610,Felipe Rocha,br BRA,FW,Avaí,19,2002,0.5,7,11,63.6,119,32,3,5,60.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,1,0,3,Matches,a961e1c4
611,Kaique Rocha,br BRA,DF,Internacional,20,2001,5.0,184,221,83.3,3039,1255,80,89,89.9,94,102,92.2,8,26,30.8,0,0.0,0.6,0.0,0,3,0,0,6,Matches,b31d385e
612,Marcos Rocha,br BRA,DF,Palmeiras,33,1988,25.0,1645,2045,80.4,34464,14563,552,607,90.9,739,866,85.3,321,481,66.7,4,2.4,2.4,+1.6,36,259,42,5,289,Matches,fdd2f275
613,Pedro Rocha Neves,br BRA,FW,Atl Paranaense,27,1994,3.1,50,74,67.6,707,271,27,35,77.1,17,23,73.9,3,6,50.0,1,1.0,1.0,0.0,3,4,1,0,7,Matches,b33e0095
614,Pedro Rocha Neves,br BRA,FWMF,Fortaleza,27,1994,7.7,114,164,69.5,1705,642,67,87,77.0,35,49,71.4,9,15,60.0,4,2.1,1.5,+1.9,17,12,12,4,21,Matches,b33e0095
615,Rodinei,br BRA,DF,Flamengo,30,1992,9.8,493,601,82.0,7145,1728,277,300,92.3,189,229,82.5,13,34,38.2,1,0.7,0.8,+0.3,7,43,16,3,66,Matches,7696cc85
616,Rodrigo,br BRA,FWMF,São Paulo,17,2004,0.8,29,37,78.4,383,87,17,21,81.0,10,11,90.9,1,1,100.0,0,0.1,0.0,-0.1,2,3,0,0,3,Matches,1126f4e2
617,Rodrigo,br BRA,DF,Avaí,23,1998,5.3,249,287,86.8,5446,1879,58,66,87.9,145,158,91.8,44,57,77.2,0,0.2,0.0,-0.2,1,12,0,0,17,Matches,cdfb04f5
618,Élton Rodrigues Brandão,br BRA,FW,Cuiabá,36,1985,3.3,55,77,71.4,692,108,37,45,82.2,16,22,72.7,0,4,0.0,0,0.7,0.1,-0.7,5,4,0,0,8,Matches,e59be3c8
619,Raphael Rodrigues,br BRA,DF,Avaí,23,1999,1.4,84,96,87.5,1605,385,26,27,96.3,54,59,91.5,4,9,44.4,0,0.0,0.0,0.0,0,1,0,0,1,Matches,548640cf
620,Rodriguinho,br BRA,MF,América (MG),18,2003,2.1,66,84,78.6,1384,470,27,35,77.1,25,30,83.3,14,19,73.7,0,0.1,0.3,-0.1,5,8,0,0,12,Matches,4565dde3
621,Romarinho,br BRA,FWMF,Fortaleza,27,1994,14.6,359,464,77.4,5523,1142,207,243,85.2,123,155,79.4,21,33,63.6,4,1.4,1.1,+2.6,21,31,12,4,36,Matches,1e7d2cc0
622,Braian Romero,ar ARG,FW,Internacional,30,1991,3.8,45,64,70.3,589,87,28,34,82.4,10,13,76.9,3,5,60.0,0,0.1,0.1,-0.1,1,3,1,0,5,Matches,c5cc3130
623,Silvio Romero,ar ARG,FW,Fortaleza,33,1988,12.9,161,221,72.9,2168,506,105,127,82.7,43,59,72.9,5,8,62.5,3,3.2,1.8,-0.2,17,9,15,0,24,Matches,6a00c4b0
624,Rômulo,br BRA,FW,Atl Paranaense,19,2002,13.3,191,284,67.3,2821,754,115,148,77.7,57,78,73.1,9,18,50.0,1,0.8,0.7,+0.2,8,9,5,0,20,Matches,03dd053e
625,Romulo,br BRA,DF,Juventude,21,2000,1.9,55,95,57.9,1033,431,21,34,61.8,26,39,66.7,7,17,41.2,0,0.3,0.3,-0.3,2,2,4,2,5,Matches,395e0e95
626,Rômulo,br BRA,FWMF,Avaí,26,1995,4.7,100,140,71.4,1469,379,58,69,84.1,31,41,75.6,5,15,33.3,0,0.2,0.5,-0.2,3,11,4,1,18,Matches,9a6eb94c
627,Ronald,br BRA,MFFW,Fortaleza,24,1997,11.7,332,408,81.4,5553,1631,155,174,89.1,141,163,86.5,26,35,74.3,0,0.7,0.5,-0.7,11,47,3,0,47,Matches,cc119c66
628,Ronaldo,br BRA,GK,Atl Goianiense,25,1996,18.0,389,493,78.9,11060,7626,61,61,100.0,196,198,99.0,127,229,55.5,0,0.0,0.0,0.0,2,9,1,0,0,Matches,711c08dc
629,Budiga Roni,br BRA,MF,Corinthians,22,1999,8.3,290,350,82.9,4380,866,159,177,89.8,95,109,87.2,18,31,58.1,1,0.6,0.3,+0.4,6,18,3,0,25,Matches,af433614
630,Rony,br BRA,FW,Palmeiras,26,1995,26.5,248,384,64.6,3499,661,141,193,73.1,83,112,74.1,9,33,27.3,2,4.1,3.0,-2.1,26,12,16,5,29,Matches,bffd5e50
631,Vitor Roque,br BRA,FW,Atl Paranaense,16,2005,14.6,99,143,69.2,1274,244,63,82,76.8,20,34,58.8,5,9,55.6,2,1.2,1.1,+0.8,12,3,2,1,7,Matches,cb00f1e6
632,Ruan,br BRA,FWMF,Juventude,16,2005,2.5,35,49,71.4,441,103,24,28,85.7,11,14,78.6,0,3,0.0,0,0.1,0.1,-0.1,2,2,2,0,5,Matches,07c41bf4
633,Rubens,br BRA,DFMF,Atlético Mineiro,20,2001,13.7,424,566,74.9,6474,1669,235,277,84.8,146,190,76.8,31,49,63.3,0,1.0,1.1,-1.0,12,18,19,9,35,Matches,ae23d044
634,Óscar Ruiz,py PAR,MFFW,Juventude,30,1991,11.0,187,270,69.3,2768,825,119,147,81.0,48,71,67.6,15,30,50.0,1,1.0,1.4,0.0,14,19,6,3,28,Matches,620ce7b1
635,Rwan,br BRA,FWMF,Santos,20,2001,5.2,100,146,68.5,1323,261,66,86,76.7,26,32,81.3,4,12,33.3,1,0.7,0.9,+0.3,10,8,6,0,12,Matches,568a75fd
636,João Victor Santos Sá,br BRA,FW,Botafogo (RJ),27,1994,19.4,467,603,77.4,6972,1292,268,314,85.4,163,196,83.2,20,43,46.5,0,2.3,2.3,-2.3,36,31,18,5,48,Matches,1a1033a1
