Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
434,Vitor Mendes,br BRA,DF,Juventude,22,1999,18.3,651,793,82.1,13262,4854,195,227,85.9,354,388,91.2,95,158,60.1,0,0.1,0.1,-0.1,2,25,1,0,27,Matches,3cdbeab9
435,Bruno Méndez,uy URU,DF,Internacional,22,1999,4.8,180,218,82.6,3904,1547,41,44,93.2,110,122,90.2,27,43,62.8,0,0.0,0.0,0.0,0,3,1,1,9,Matches,66017b9d
436,Bruno Méndez,uy URU,DF,Corinthians,22,1999,12.6,557,717,77.7,10268,3742,211,241,87.6,286,347,82.4,54,110,49.1,1,0.4,0.2,+0.6,2,27,0,0,31,Matches,66017b9d
437,Stiven Mendoza,co COL,FW,Ceará,29,1992,25.9,503,685,73.4,7146,1881,312,374,83.4,127,168,75.6,37,66,56.1,1,2.3,2.6,-1.3,33,32,26,11,57,Matches,e68f2cb4
438,Ramon Menezes Roma,br BRA,DF,Atl Goianiense,26,1995,14.0,655,722,90.7,13805,5392,170,188,90.4,393,413,95.2,87,110,79.1,0,0.0,0.2,0.0,1,29,0,0,34,Matches,eab48ffb
439,Gabriel Menino,br BRA,MF,Palmeiras,21,2000,10.2,516,634,81.4,10428,2893,187,210,89.0,231,261,88.5,88,135,65.2,1,1.5,1.8,-0.5,18,81,11,5,80,Matches,01819e70
440,Gabriel Mercado,ar ARG,DF,Internacional,34,1987,23.6,923,1029,89.7,17032,6086,342,364,94.0,483,522,92.5,83,114,72.8,0,0.2,0.1,-0.2,4,38,0,0,52,Matches,bf97c188
441,John Mercado,ec ECU,FW,Atl Paranaense,19,2002,0.0,3,5,60.0,43,28,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,d97831ad
442,Miguel Merentiel,uy URU,FWMF,Palmeiras,25,1996,2.6,35,47,74.5,510,89,19,23,82.6,11,13,84.6,2,5,40.0,0,0.3,0.1,-0.3,3,3,1,0,4,Matches,307224a2
443,Messias,br BRA,DF,Ceará,27,1994,23.0,594,768,77.3,11791,4256,172,202,85.1,357,423,84.4,62,127,48.8,0,0.6,0.4,-0.6,7,42,2,1,44,Matches,70bb3170
