Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,3,0,0,27,16,1,2,35,31,0,2,0,170,67,46,59.3,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,1,0,0,3,2,0,2,0,1,0,0,0,7,0,0,,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,2,0,0,11,8,0,10,6,3,0,0,0,28,0,1,0.0,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,3,0,0,24,71,4,49,15,19,0,0,0,91,24,29,45.3,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,4,3,1,11,2,0,2,7,5,0,0,0,22,24,15,61.5,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,2,0,0,5,9,3,14,1,2,1,0,0,20,7,9,43.8,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,5,0,0,25,9,0,0,22,7,0,1,0,92,31,37,45.6,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,1,0,0,37,12,4,6,30,32,0,0,0,95,31,25,55.4,Matches,fb29d05d
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,0,0,0,4,5,0,7,1,0,0,0,0,11,1,1,50.0,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0.0,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,4,0,0,8,9,0,2,10,6,0,0,0,61,27,20,57.4,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,3,0,0,14,30,4,11,0,8,1,0,0,32,34,47,42.0,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,2,0,0,11,20,1,28,7,5,0,0,0,64,17,24,41.5,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,0,0,0,6,2,0,12,8,4,0,0,0,15,6,2,75.0,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,3,0,0,24,12,2,35,31,37,0,1,0,163,12,9,57.1,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,0,0,0,7,7,2,3,0,2,0,0,0,8,0,7,0.0,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,6,0,0,28,19,4,118,19,20,0,0,0,130,19,26,42.2,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,1,0,0,23,6,3,89,17,19,0,0,0,60,16,30,34.8,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,0,1,0,3,2,0,1,0,0,0,0,0,2,3,9,25.0,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,1,0,0,2,2,1,0,1,2,0,0,0,3,15,13,53.6,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,1,0,0,25,10,0,4,37,19,0,2,0,90,23,26,46.9,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,0,1,0,9,11,1,15,1,6,0,0,0,36,12,20,37.5,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,0,0,0,3,4,0,0,8,4,0,0,0,44,11,6,64.7,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,1,0,0,4,11,0,4,3,7,0,0,0,26,2,3,40.0,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,1,0,0,6,17,0,13,5,5,0,0,0,46,13,7,65.0,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,5,0,0,43,70,28,38,5,12,0,1,0,70,115,106,52.0,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,8,0,0,38,7,0,4,18,26,0,0,0,103,23,26,46.9,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,1,0,0,4,1,0,0,1,3,0,0,0,6,0,5,0.0,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,3,0,0,21,11,0,7,26,22,0,0,0,109,14,18,43.8,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,0,0,0,0,0,0,0,2,2,0,0,0,4,5,0,100.0,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,4,2,0,44,14,9,46,32,21,0,4,0,131,98,48,67.1,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,2,0,0,26,16,25,12,8,6,1,0,0,84,21,28,42.9,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,2,0,0,25,34,3,35,7,16,1,0,0,79,6,9,40.0,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,1,0,0,11,21,0,23,12,12,0,0,0,80,15,6,71.4,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,6,0,0,24,41,0,58,19,27,0,0,0,68,11,23,32.4,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,8,0,0,61,67,1,157,66,38,0,0,0,223,88,53,62.4,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,2,0,0,11,8,0,26,3,4,0,0,0,21,6,6,50.0,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,5,0,0,29,17,1,5,39,22,0,1,0,103,33,13,71.7,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,6,1,1,22,13,1,41,23,20,0,0,0,73,33,28,54.1,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,3,0,0,3,1,0,0,5,2,0,0,0,11,12,6,66.7,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,0,0,0,2,0,0,10,0,3,0,0,0,14,4,2,66.7,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,0,0,0,22,5,3,1,3,1,0,0,0,13,7,16,30.4,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,1,0,0,0,1,0,0,0,0,0,0,0,10,1,0,100.0,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0.0,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,2,0,0,12,11,1,26,8,10,0,0,0,40,4,12,25.0,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,0,0,0,4,0,0,1,1,3,0,0,0,11,4,3,57.1,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,3,0,0,0,7,0,0,1,0,0,0,0,26,14,0,100.0,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,7,1,0,28,19,1,2,35,17,0,1,0,152,64,52,55.2,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,3,0,0,11,24,6,13,1,3,1,0,0,37,6,10,37.5,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,0,0,0,1,1,0,0,0,3,0,0,0,4,0,1,0.0,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,1,0,0,2,4,0,0,2,1,0,1,0,23,17,0,100.0,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,8,1,1,15,4,1,3,14,9,0,0,0,55,42,24,63.6,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,7,0,0,25,10,2,0,39,21,0,0,0,153,96,40,70.6,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,4,0,0,34,8,0,2,40,26,0,0,0,94,62,28,68.9,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,3,0,0,13,3,1,0,9,7,0,0,0,42,33,19,63.5,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,5,0,0,16,10,1,0,13,15,0,3,0,71,27,21,56.3,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,0,0,0,1,0,0,0,5,0,0,0,0,7,5,0,100.0,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,3,1,0,54,69,3,145,25,31,0,0,0,132,21,34,38.2,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,3,0,0,17,6,2,3,5,6,0,0,0,21,5,3,62.5,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,6,0,0,51,52,5,11,8,18,0,0,0,72,119,103,53.6,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,1,0,0,5,5,5,7,5,3,1,0,0,16,7,20,25.9,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,2,0,0,16,16,0,5,5,10,0,0,0,37,8,11,42.1,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,1,0,0,6,7,0,0,8,1,0,0,1,20,16,8,66.7,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,1,0,0,10,11,5,1,0,1,0,0,0,13,8,17,32.0,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,6,1,1,38,6,4,5,2,10,0,0,0,26,56,49,53.3,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,2,0,0,16,14,0,6,13,11,0,0,0,56,9,14,39.1,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,0,0,0,10,1,0,1,5,9,0,0,0,23,7,4,63.6,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,1,0,0,15,1,0,0,28,13,0,0,0,69,97,40,70.8,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,1,0,0,7,4,2,6,3,2,0,0,0,17,8,8,50.0,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,7,0,0,21,25,1,28,12,25,0,0,0,163,22,25,46.8,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,1,0,0,6,15,0,5,8,8,0,0,0,28,5,4,55.6,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,4,0,0,14,14,1,79,15,13,0,0,0,75,11,12,47.8,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,50.0,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,6,1,1,26,34,5,74,12,25,0,0,0,98,6,18,25.0,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,8,0,0,28,11,2,8,59,29,0,0,0,153,67,27,71.3,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,1,0,0,0,1,0,3,0,0,0,0,0,4,0,2,0.0,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,10,1,1,52,71,3,105,15,22,0,0,0,132,7,27,20.6,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,5,0,0,0,6,0,0,1,0,0,0,0,9,1,1,50.0,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,0,0,0,3,1,0,0,2,0,0,0,0,6,4,4,50.0,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,5,1,0,46,21,1,16,29,40,0,1,0,190,20,31,39.2,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,1,0,0,21,16,7,12,0,6,0,0,0,25,14,32,30.4,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,0,0,0,1,3,0,2,0,0,0,0,0,4,0,0,,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,1,0,0,9,48,2,132,5,23,1,0,0,74,13,17,43.3,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,4,0,0,18,16,0,1,9,12,0,0,0,54,4,4,50.0,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,0,0,0,5,0,1,2,0,1,0,0,0,4,1,2,33.3,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,4,0,0,6,11,0,7,3,3,1,0,0,16,2,6,25.0,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,0,0,0,7,2,0,13,2,2,0,0,0,16,4,3,57.1,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,4,0,0,13,28,13,10,4,3,0,0,0,45,73,59,55.3,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,7,0,0,21,15,1,19,9,12,0,0,0,50,5,4,55.6,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,0,0,0,1,2,0,0,1,2,0,0,0,4,2,0,100.0,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,0,0,0,2,2,0,0,1,6,0,0,0,4,2,1,66.7,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,1,0,0,4,6,0,8,7,0,0,0,0,11,4,0,100.0,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,7,0,0,36,8,0,6,24,25,0,1,0,68,47,33,58.8,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,3,0,0,20,19,1,6,10,15,0,1,0,62,6,6,50.0,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,4,0,0,34,77,1,87,35,39,1,0,0,204,28,26,51.9,Matches,7e5a7340
