Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,510,16,103,298,120,15,510,18,9,50.0,7,38.9,290,1391,625,13,10,0,16,17,337,26,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,,,,,,,,,,,,,,,,,,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,205,12,56,126,26,4,205,2,2,100.0,0,0.0,120,534,174,3,5,0,3,1,127,5,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,914,148,519,361,40,27,914,2,1,50.0,1,50.0,384,1830,1109,2,1,0,3,0,430,4,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,123,9,20,58,46,12,123,6,3,50.0,3,50.0,70,269,81,4,3,2,8,6,83,18,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,1730,91,471,994,299,11,1730,53,36,67.9,16,30.2,917,5925,3482,68,51,3,31,20,1001,78,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,313,5,55,177,87,8,313,13,7,53.8,4,30.8,189,1069,501,13,6,2,5,12,229,26,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,709,20,126,354,235,5,709,8,3,37.5,5,62.5,361,1912,802,14,11,0,9,6,422,52,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,8,0,3,4,3,1,8,1,0,0.0,1,100.0,3,46,12,0,0,0,0,0,3,1,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,936,15,133,411,429,39,936,76,38,50.0,34,44.7,595,4271,2180,76,53,16,59,28,625,163,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,1642,224,843,741,75,31,1642,9,7,77.8,2,22.2,894,3841,1929,10,9,0,12,1,985,5,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,64,0,5,38,21,1,64,1,1,100.0,0,0.0,50,167,78,2,1,0,1,2,55,8,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,1014,29,192,402,443,47,1014,85,40,47.1,39,45.9,600,4309,2089,67,54,12,74,56,624,129,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,612,541,610,2,0,0,612,1,1,100.0,0,0.0,296,1709,849,0,0,0,1,0,194,0,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,81,20,51,26,5,5,81,1,0,0.0,1,100.0,38,188,123,0,0,0,1,0,40,0,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,1665,58,344,1069,273,24,1665,44,21,47.7,20,45.5,917,4900,2248,38,31,5,31,24,1076,37,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,1,0,0,0,1,0,1,0,0,,0,,1,12,0,0,0,0,0,0,0,0,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,337,7,30,136,179,38,337,24,11,45.8,12,50.0,201,1260,554,24,12,5,25,14,239,58,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,26,0,0,14,12,0,26,3,0,0.0,2,66.7,24,171,51,3,2,1,2,4,22,8,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,1125,4,71,447,622,89,1125,52,29,55.8,21,40.4,723,3245,1367,37,30,19,49,33,853,160,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,459,11,87,294,84,3,459,14,8,57.1,4,28.6,281,1591,731,10,9,0,14,11,322,15,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,30,0,6,17,8,0,30,2,2,100.0,0,0.0,18,100,46,1,2,0,2,1,20,2,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,149,5,21,67,65,7,149,14,7,50.0,7,50.0,98,513,217,6,4,2,9,5,106,31,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,157,1,12,66,81,17,157,16,7,43.8,7,43.8,106,824,427,17,7,8,12,6,105,35,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,507,26,54,244,219,71,504,27,7,25.9,19,70.4,232,1052,443,13,17,8,39,19,349,67,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,421,14,72,212,143,8,421,27,16,59.3,11,40.7,255,1655,780,19,10,1,27,12,263,31,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,53,4,16,34,4,0,53,0,0,,0,,22,136,92,3,2,0,1,0,29,0,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,67,4,19,38,10,1,67,1,0,0.0,1,100.0,32,142,71,2,0,0,2,0,44,2,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,101,3,20,46,35,2,101,1,1,100.0,0,0.0,62,233,113,1,2,0,0,4,73,14,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,70,58,69,1,0,0,70,0,0,,0,,43,232,193,0,0,0,0,0,26,0,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,1241,137,570,624,50,14,1241,11,10,90.9,1,9.1,754,4047,2302,13,13,0,9,0,846,4,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,687,23,167,407,125,10,687,15,13,86.7,0,0.0,474,2541,1160,18,26,1,14,8,518,27,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,61,54,61,0,0,0,61,0,0,,0,,23,75,69,0,0,0,0,0,23,0,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,1554,123,463,716,412,24,1554,117,71,60.7,35,29.9,800,5717,3459,83,63,8,62,28,793,67,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,564,20,139,259,167,17,564,6,3,50.0,2,33.3,289,1200,574,13,13,3,8,5,328,50,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,50,44,50,0,0,0,50,0,0,,0,,19,94,64,0,0,0,1,0,11,0,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,482,440,482,0,0,0,482,0,0,,0,,220,1548,979,0,0,0,1,0,114,0,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,,,,,,,,,,,,,,,,,,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,233,16,61,143,34,5,233,2,2,100.0,0,0.0,123,644,268,3,5,0,5,1,138,6,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,65,17,26,35,5,0,65,2,2,100.0,0,0.0,34,180,94,0,0,0,1,2,34,1,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,1485,10,123,580,805,140,1485,126,54,42.9,62,49.2,960,7142,4132,156,91,56,54,28,1074,309,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,56,4,26,26,5,0,56,2,1,50.0,0,0.0,36,166,80,2,1,0,3,1,34,1,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,200,10,47,83,72,6,200,16,6,37.5,9,56.3,134,837,431,15,15,0,11,8,139,33,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,1367,41,209,779,394,35,1364,39,17,43.6,19,48.7,853,4190,2143,54,34,3,33,26,981,81,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,1470,252,831,622,37,15,1470,13,8,61.5,3,23.1,758,4859,3192,14,4,0,10,5,773,3,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,210,2,13,86,115,29,209,10,3,30.0,5,50.0,125,690,326,15,6,4,22,5,144,52,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,,,,,,,,,,,,,,,,,,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,576,34,157,273,154,12,576,17,10,58.8,6,35.3,318,1899,1085,20,18,2,11,7,365,27,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,1055,168,546,478,33,7,1055,5,1,20.0,4,80.0,625,3268,1941,11,11,0,6,3,693,1,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,616,18,75,385,162,40,616,26,16,61.5,8,30.8,402,2475,1061,22,26,3,25,7,454,42,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,322,10,41,137,151,24,322,34,15,44.1,16,47.1,217,1339,525,16,11,4,37,17,211,63,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,663,47,218,381,71,12,663,5,3,60.0,2,40.0,368,1577,605,7,8,1,11,5,423,7,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,193,4,20,99,77,9,193,7,6,85.7,1,14.3,88,616,217,5,4,2,7,4,123,14,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,1259,187,637,603,36,10,1259,7,4,57.1,3,42.9,694,3428,1979,10,9,1,5,1,767,4,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,67,0,2,15,50,27,67,5,4,80.0,0,0.0,48,244,118,4,1,3,6,9,51,13,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,932,68,240,563,136,25,932,35,17,48.6,17,48.6,472,2155,1033,13,10,1,19,12,502,25,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,594,7,46,224,332,40,593,71,31,43.7,35,49.3,421,2828,1515,47,27,12,26,23,448,147,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,388,11,16,154,226,77,387,40,21,52.5,17,42.5,232,1611,617,29,24,14,64,24,284,90,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,60,0,9,30,21,3,60,4,2,50.0,0,0.0,36,206,108,3,2,2,3,1,43,7,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,1559,56,267,887,420,50,1557,39,27,69.2,11,28.2,947,4561,2190,36,35,3,46,27,1048,81,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,1084,7,114,388,602,75,1083,71,28,39.4,34,47.9,684,5332,2728,99,48,32,46,15,765,198,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,1224,1079,1215,10,0,0,1224,0,0,,0,,795,3656,1933,0,0,0,0,0,769,0,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,202,3,35,113,59,4,202,9,3,33.3,6,66.7,129,891,406,11,9,1,6,3,142,30,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,64,1,9,48,7,0,64,0,0,,0,,36,192,97,0,3,0,0,0,46,0,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,44,0,1,14,29,7,44,4,3,75.0,1,25.0,27,96,33,1,1,0,6,2,33,11,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,1035,931,1032,4,0,0,1035,0,0,,0,,504,2297,1344,0,0,0,0,0,370,0,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,682,10,105,318,275,47,682,81,46,56.8,33,40.7,465,3031,1284,37,35,8,45,35,491,100,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,838,31,217,402,230,5,838,15,8,53.3,3,20.0,458,1851,985,20,16,3,11,1,540,50,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,985,42,235,673,92,3,985,25,19,76.0,5,20.0,607,2966,1545,21,7,1,23,10,660,7,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,59,3,35,25,0,0,59,1,0,0.0,1,100.0,33,146,66,0,0,0,0,0,36,0,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,621,25,115,407,103,8,621,7,5,71.4,2,28.6,328,1626,869,12,10,0,8,8,421,12,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,,,,,,,,,,,,,,,,,,,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,822,135,392,410,25,8,822,1,1,100.0,0,0.0,409,2342,1504,11,4,0,11,0,450,3,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,1212,14,95,730,408,15,1212,58,24,41.4,29,50.0,802,5164,2314,67,50,6,34,23,858,63,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,356,25,107,187,69,3,356,13,10,76.9,3,23.1,149,682,294,3,6,0,15,7,180,14,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,881,747,874,8,0,0,881,0,0,,0,,413,2373,1668,0,0,0,2,0,259,0,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,1686,14,147,821,738,60,1684,34,17,50.0,14,41.2,1019,4224,2170,48,43,9,46,38,1203,168,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,1529,56,343,1052,165,5,1529,48,27,56.3,19,39.6,929,5701,3283,47,37,2,27,15,936,12,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,654,15,84,442,136,12,654,22,10,45.5,10,45.5,376,2259,1131,27,27,3,18,9,433,31,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,11,2,5,5,1,1,11,0,0,,0,,5,40,14,0,0,0,0,0,6,0,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,746,29,123,299,328,94,746,53,20,37.7,29,54.7,473,2992,1570,60,18,28,29,19,511,137,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,572,66,277,282,14,7,572,6,3,50.0,1,16.7,367,2043,1295,11,7,0,2,3,365,3,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,15,0,3,5,7,1,15,1,0,0.0,1,100.0,10,42,9,0,0,0,3,0,9,3,Matches,4a615e0b
225,Flávio,br BRA,MF,América (MG),21,2000,0.3,30,1,9,17,4,1,30,0,0,,0,,19,178,142,2,2,0,0,0,22,1,Matches,f0367bfd
226,Rafael Forster,br BRA,DF,Juventude,31,1990,18.1,1121,174,705,386,48,13,1121,15,10,66.7,5,33.3,612,3369,2142,11,6,0,10,3,662,4,Matches,eb3f56e5
227,Matheus França,br BRA,FWMF,Flamengo,17,2004,7.5,344,11,39,144,167,45,344,28,16,57.1,11,39.3,208,1273,566,15,14,6,17,11,228,56,Matches,077faf72
228,Fred,br BRA,FWMF,Fluminense,38,1983,1.4,66,3,6,27,34,8,66,4,3,75.0,1,25.0,36,124,58,2,3,0,5,1,51,14,Matches,acaeba74
229,Marlon Freitas,br BRA,MF,Atl Goianiense,26,1995,27.5,2074,76,431,1220,436,29,2072,11,9,81.8,2,18.2,1326,6878,3366,55,53,1,23,9,1570,72,Matches,ae3181de
230,Douglas Friedrich,br BRA,GK,Avaí,33,1988,10.4,291,237,290,1,0,0,291,0,0,,0,,127,626,340,0,0,0,0,0,100,0,Matches,8789242d
231,Gabriel,br BRA,MF,São Paulo,22,1999,0.5,16,0,1,11,4,1,16,1,0,0.0,1,100.0,12,54,24,1,0,0,1,2,12,4,Matches,135d500d
232,Gabriel,br BRA,MF,Internacional,29,1992,23.8,1678,56,349,1125,218,8,1678,10,4,40.0,6,60.0,956,4140,2133,28,30,2,13,10,1112,21,Matches,e9c0d5d8
233,Gabriel,br BRA,GK,Coritiba,29,1992,13.0,413,343,410,3,0,0,413,0,0,,0,,202,1306,881,0,0,0,0,0,130,0,Matches,f93ed0df
234,Gabriel,br BRA,MF,Botafogo (RJ),28,1993,8.3,546,19,92,327,130,10,546,18,8,44.4,8,44.4,309,1322,528,7,15,2,13,9,372,17,Matches,0d10333c
235,Eduardo Gabriel,br BRA,DF,Santos,25,1996,33.0,1882,296,949,887,50,34,1882,8,6,75.0,0,0.0,1091,4815,2581,8,6,1,9,4,1233,7,Matches,aed65960
236,Luiz Gabriel,br BRA,FWMF,Coritiba,19,2002,1.1,72,2,14,45,13,1,72,4,1,25.0,3,75.0,36,163,79,1,0,0,0,2,48,2,Matches,f9c619e0
237,Marquinhos Gabriel,br BRA,MFFW,Goiás,31,1990,8.4,297,8,38,150,117,14,297,18,11,61.1,6,33.3,179,1158,463,14,12,3,13,11,174,25,Matches,fcd113c4
238,Vitor Gabriel,br BRA,FWMF,Juventude,22,2000,8.6,284,18,45,114,130,57,284,20,4,20.0,15,75.0,146,888,347,13,11,6,33,10,190,40,Matches,094c2abd
239,Matías Galarza,py PAR,MF,Coritiba,19,2002,6.7,365,5,53,205,110,7,365,12,4,33.3,7,58.3,224,1262,672,17,7,1,16,7,223,21,Matches,8e97a57b
240,Matheus Galdezani,br BRA,MF,Avaí,29,1992,3.2,195,6,34,91,71,9,195,13,7,53.8,6,46.2,102,506,235,9,6,3,7,4,128,18,Matches,5042eb90
241,Thiago Galhardo,br BRA,FWMF,Fortaleza,32,1989,15.0,536,20,65,237,241,54,535,43,24,55.8,15,34.9,276,1665,758,22,14,8,39,17,356,71,Matches,766f48dd
242,Giuliano Galoppo,ar ARG,MF,São Paulo,22,1999,7.9,398,7,55,200,145,29,398,9,3,33.3,5,55.6,228,1098,364,7,8,3,17,4,301,37,Matches,a8eeadaf
243,Léo Gamalho,br BRA,FW,Coritiba,36,1986,18.4,467,14,36,228,205,66,465,5,1,20.0,4,80.0,224,942,336,14,10,5,20,20,346,64,Matches,f73056ee
244,Ganso,br BRA,MFFW,Fluminense,32,1989,27.5,2268,34,312,1243,735,33,2265,50,34,68.0,14,28.0,1405,4908,2339,28,51,1,30,36,1868,111,Matches,23593121
245,García,br BRA,DFMF,Palmeiras,20,2002,1.1,84,2,26,35,23,4,84,0,0,,0,,49,238,150,2,1,0,1,1,62,9,Matches,45d071f4
246,Bryan García,ec ECU,MF,Atl Paranaense,21,2001,3.1,168,8,39,100,32,0,168,6,4,66.7,2,33.3,85,494,191,3,4,0,9,8,94,2,Matches,7b66d351
247,Luan Garcia,br BRA,DF,Palmeiras,28,1993,13.6,782,79,356,404,27,12,782,1,0,0.0,0,0.0,480,2578,1553,9,4,0,6,2,516,3,Matches,6ebe6cc1
248,Gaspar,br BRA,FW,Avaí,19,2002,0.4,21,1,6,3,12,3,21,0,0,,0,,8,79,44,2,0,0,1,0,9,2,Matches,996af9a5
249,Rafael Gava,br BRA,MF,Cuiabá,28,1993,22.7,1193,31,181,569,454,40,1193,13,9,69.2,4,30.8,574,2711,1142,15,25,2,33,21,736,88,Matches,713e1a36
250,Lucas Gazal,br BRA,DF,Atl Goianiense,22,1999,14.5,746,150,409,300,41,15,746,5,2,40.0,3,60.0,415,2140,1537,13,9,0,3,0,480,3,Matches,dcae46d5
251,Guilherme Gehring,br BRA,MF,Juventude,16,2005,0.1,2,0,0,2,0,0,2,0,0,,0,,2,3,0,0,0,0,0,0,2,0,Matches,37faab98
252,Geovane,br BRA,MF,Ceará,22,1999,6.1,333,6,57,202,76,6,333,4,2,50.0,2,50.0,198,807,398,6,6,2,6,3,226,14,Matches,099a14d5
253,Gil,br BRA,DF,Corinthians,34,1987,22.7,1412,164,740,633,44,29,1412,4,1,25.0,3,75.0,780,3139,1394,1,4,1,4,4,955,1,Matches,31edef00
254,Giovane,br BRA,FWDF,Corinthians,18,2003,3.3,150,3,15,75,60,11,150,15,5,33.3,7,46.7,91,559,202,7,7,2,15,6,109,24,Matches,1b567cdc
255,Giovani,br BRA,FWMF,Palmeiras,18,2004,0.4,24,0,0,9,15,1,24,2,0,0.0,2,100.0,16,102,52,3,2,0,3,0,17,7,Matches,a199bd5f
256,Glédson,br BRA,GK,Avaí,38,1983,5.0,134,121,134,0,0,0,134,1,1,100.0,0,0.0,60,305,225,0,0,0,0,0,42,0,Matches,a9d625f5
257,Diego Godín,uy URU,DF,Atlético Mineiro,35,1986,1.0,84,9,37,47,0,0,84,0,0,,0,,59,268,172,1,0,0,0,0,68,0,Matches,fc4f85b1
258,Bruno Gomes,br BRA,MF,Coritiba,20,2001,16.6,896,24,161,510,236,19,896,40,20,50.0,17,42.5,549,3486,1799,42,36,3,29,24,601,37,Matches,76f2bbf8
259,Igor Gomes,br BRA,MF,São Paulo,22,1999,22.9,1205,22,160,621,436,54,1205,39,17,43.6,20,51.3,744,3327,1551,33,31,4,27,20,875,120,Matches,6a7fb945
260,Igor Gomes,br BRA,DF,Internacional,20,2001,1.3,103,6,23,66,14,2,103,3,1,33.3,1,33.3,58,287,216,7,2,2,0,1,63,5,Matches,509d5b3d
261,João Gomes,br BRA,MF,Flamengo,20,2001,20.9,1310,42,231,748,352,22,1310,37,24,64.9,12,32.4,781,3891,1932,30,38,6,29,24,872,46,Matches,8b57ad2c
262,Gustavo Gómez,py PAR,DF,Palmeiras,28,1993,30.0,1772,219,907,773,100,41,1771,4,3,75.0,0,0.0,946,4601,2535,9,9,0,10,2,1086,13,Matches,d5ce52a5
263,Aloísio dos Santos Gonçalves,cn CHN,FWMF,América (MG),33,1988,10.5,358,8,43,130,188,55,357,20,5,25.0,11,55.0,213,860,378,7,13,2,30,15,251,81,Matches,9851b2e0
264,Diego Gonçalves,br BRA,FW,Botafogo (RJ),27,1994,5.4,252,5,29,104,120,19,250,14,4,28.6,10,71.4,138,725,292,15,5,3,11,7,181,59,Matches,c707fc37
265,Matheus Gonçalves,br BRA,FW,Flamengo,16,2005,0.3,26,0,3,7,16,1,26,1,0,0.0,1,100.0,20,73,59,0,2,0,1,1,17,4,Matches,071a6836
266,Ricardo Goulart,br BRA,MFFW,Santos,30,1991,4.5,190,7,14,88,88,16,190,5,2,40.0,3,60.0,109,441,153,6,6,2,7,2,142,37,Matches,f053730b
267,Daniel Guedes,br BRA,DFMF,Cuiabá,27,1994,8.8,564,15,139,227,206,5,564,28,10,35.7,15,53.6,307,1820,842,18,20,1,10,7,325,33,Matches,25f61bc3
268,Roger Guedes,br BRA,FWMF,Corinthians,25,1996,28.3,1334,20,116,586,649,109,1333,75,29,38.7,40,53.3,874,5513,2426,70,56,34,70,26,1090,228,Matches,612a9dd7
269,Paolo Guerrero,pe PER,FW,Avaí,38,1984,4.8,183,5,11,94,80,26,183,11,7,63.6,3,27.3,101,431,182,6,7,1,21,16,144,26,Matches,ae6657a1
270,Guga,br BRA,DF,Atlético Mineiro,23,1998,18.6,1358,34,287,638,446,18,1358,15,8,53.3,6,40.0,682,3084,1506,34,17,4,13,10,772,83,Matches,6975a3e1
271,Marcos Guilherme,br BRA,FWMF,São Paulo,26,1995,6.4,333,2,32,158,144,15,333,7,4,57.1,3,42.9,219,1291,750,14,14,3,7,1,258,50,Matches,d5ff6084
272,Marcos Guilherme,br BRA,MF,Santos,26,1995,0.3,21,1,5,13,3,0,21,0,0,,0,,11,108,51,1,1,0,1,0,11,1,Matches,d5ff6084
273,Gustavinho,br BRA,MF,América (MG),20,2001,4.3,249,4,22,121,107,6,249,23,14,60.9,8,34.8,159,1008,557,18,10,3,14,9,177,32,Matches,69896b0e
274,Habraão,br BRA,DF,Fortaleza,20,2001,2.4,132,30,70,57,7,6,132,1,1,100.0,0,0.0,44,290,207,3,0,0,1,1,61,0,Matches,1e329d13
275,Lucas Halter,br BRA,DF,Atl Paranaense,21,2000,1.1,72,8,34,35,3,1,72,1,1,100.0,0,0.0,43,341,286,1,1,0,1,0,52,0,Matches,7aa882a2
276,Lucas Halter,br BRA,DF,Goiás,21,2000,11.9,532,100,328,189,16,9,532,1,0,0.0,1,100.0,260,1321,899,2,4,0,1,0,305,0,Matches,7aa882a2
277,Hayner,br BRA,DF,Atl Goianiense,26,1995,15.3,846,56,243,322,292,29,846,55,26,47.3,27,49.1,466,3263,1791,54,27,10,32,4,492,131,Matches,246c7429
278,Heitor,br BRA,DF,Internacional,21,2000,4.4,250,9,68,131,52,3,250,2,1,50.0,1,50.0,106,583,268,7,3,1,3,1,127,12,Matches,e0839492
279,Thiago Heleno,br BRA,DF,Atl Paranaense,33,1988,12.7,718,69,323,377,22,15,717,1,0,0.0,1,100.0,442,1859,843,1,0,0,3,0,468,1,Matches,827422f9
280,Helinho,br BRA,FWMF,Bragantino,21,2000,19.0,995,31,137,439,436,49,994,58,34,58.6,21,36.2,655,4608,2270,70,65,12,47,23,668,150,Matches,5837cb60
281,Henrique,br BRA,DF,Coritiba,35,1986,17.9,1012,159,527,457,35,13,1012,2,0,0.0,2,100.0,614,3239,1846,16,4,0,4,0,694,5,Matches,429163de
282,Arthur Henrique,br BRA,DF,Atl Goianiense,27,1994,10.7,675,37,218,272,196,11,675,32,16,50.0,14,43.8,356,2543,1562,24,20,3,22,8,381,44,Matches,ae46bd26
283,Bruno Henrique,br BRA,FWMF,Flamengo,31,1990,6.8,304,9,27,105,179,43,304,19,8,42.1,11,57.9,202,1332,805,32,17,6,19,5,230,77,Matches,5edff24f
284,Daniel Henrique,br BRA,FW,Ceará,17,2004,0.3,6,0,0,2,4,2,6,1,0,0.0,1,100.0,5,32,18,2,0,2,0,0,5,0,Matches,1ef923db
285,Gustavo Henrique,br BRA,DF,Flamengo,28,1993,3.8,246,51,145,93,9,6,246,0,0,,0,,136,598,341,2,1,0,1,0,166,1,Matches,fa066690
286,Luis Henrique,br BRA,FWMF,Botafogo (RJ),20,2001,2.9,138,2,17,61,66,2,138,7,3,42.9,4,57.1,92,804,348,8,9,0,10,7,100,25,Matches,f36d5624
287,Luiz Henrique,br BRA,FWMF,Fluminense,21,2001,11.7,567,9,80,231,259,52,567,48,25,52.1,23,47.9,330,1764,850,31,6,12,39,35,386,102,Matches,8059806f
288,Paulo Henrique,br BRA,DFMF,Juventude,25,1996,16.7,836,40,268,310,278,26,836,84,47,56.0,35,41.7,467,3280,1931,55,35,10,31,23,460,114,Matches,25a0cb08
289,Pedro Henrique,br BRA,DF,Atl Paranaense,26,1995,25.6,1406,258,733,641,39,17,1406,2,0,0.0,2,100.0,697,3607,2159,12,9,0,9,1,803,2,Matches,4322e5d7
290,Pedro Henrique,br BRA,FWMF,Internacional,31,1990,17.7,752,15,97,244,429,90,750,56,26,46.4,19,33.9,504,4560,2513,86,65,26,40,21,562,175,Matches,460976a2
291,Hércules,br BRA,MFFW,Fortaleza,21,2000,15.2,741,20,144,426,184,17,741,29,20,69.0,6,20.7,427,2391,1091,18,21,2,25,16,463,40,Matches,eadc7b45
