Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,0.9,100,1,20,48,34,4,100,8,7,87.5,1,12.5,70,395,183,6,3,3,3,9,85,9,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8.0,523,86,276,229,19,16,523,0,0,,0,,272,1323,739,1,0,0,2,1,322,2,Matches,269dbfc6
35,Jhon Arias,co COL,FWMF,Fluminense,24,1997,29.6,2193,34,278,914,1031,90,2192,136,72,52.9,52,38.2,1433,8406,4425,138,102,27,73,79,1655,266,Matches,86d96066
36,Arthur,br BRA,MFDF,América (MG),18,2003,2.0,132,6,26,52,55,2,132,10,2,20.0,7,70.0,73,373,147,5,2,0,11,7,66,11,Matches,8a958856
37,Arthur,br BRA,FW,Corinthians,18,2003,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,e93fed32
38,Artur,br BRA,FWMF,Bragantino,23,1998,31.0,1512,16,149,547,837,106,1512,72,37,51.4,31,43.1,988,5773,2628,74,58,28,74,37,1026,266,Matches,105132cd
39,Eduard Atuesta,co COL,MF,Palmeiras,24,1997,7.3,434,10,61,215,160,28,434,28,15,53.6,12,42.9,254,1356,680,20,12,7,16,13,286,52,Matches,60990b81
40,Felipe Augusto,br BRA,FW,Corinthians,17,2004,0.8,8,0,1,5,2,0,8,0,0,,0,,9,22,10,0,0,0,3,2,10,0,Matches,1f9cbd0b
41,Leo Augusto Pereira,br BRA,FWMF,Atl Goianiense,21,2000,12.6,489,7,77,155,267,55,489,62,19,30.6,42,67.7,326,2696,1123,46,27,17,45,24,313,116,Matches,a3818875
42,Renato Augusto,br BRA,MF,Corinthians,33,1988,15.6,1205,18,106,681,428,35,1205,26,14,53.8,12,46.2,712,3275,1480,28,26,3,38,9,898,91,Matches,83a6367a
43,Auremir,br BRA,MF,Goiás,30,1991,16.4,724,55,240,412,79,8,724,9,3,33.3,5,55.6,371,1957,926,5,11,0,21,8,411,5,Matches,3a2e6d70
44,Auro,br BRA,DF,Santos,26,1996,4.3,259,11,60,119,81,5,259,4,2,50.0,2,50.0,119,474,263,4,10,1,3,5,143,17,Matches,b234cb0e
45,Danilo Avelar,br BRA,DF,América (MG),32,1989,9.6,540,49,164,253,126,30,540,8,3,37.5,5,62.5,185,743,421,4,5,0,8,2,263,28,Matches,eacb45fd
46,Felipe Azevedo,br BRA,MFFW,América (MG),35,1987,25.3,1185,28,183,456,570,98,1185,76,31,40.8,33,43.4,690,4318,1889,58,49,15,65,37,815,189,Matches,4a22b15a
47,Matheus Babi,br BRA,FWMF,Atl Paranaense,24,1997,0.9,37,3,4,16,17,4,37,2,1,50.0,1,50.0,22,128,41,1,2,2,5,1,28,7,Matches,f48cff2c
48,Pedro Bahia,br BRA,MF,Goiás,19,2002,0.3,,,,,,,,,,,,,,,,,,,,,,,Matches,3964a23d
49,Fabrício Baiano,br BRA,FWMF,Fortaleza,29,1992,0.6,47,1,14,15,19,1,47,3,1,33.3,2,66.7,20,314,134,7,3,0,5,3,23,5,Matches,d8a48dad
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,754,96,425,311,20,15,754,3,2,66.7,1,33.3,401,1710,1026,1,0,0,2,0,454,1,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,249,42,143,98,8,2,249,3,2,66.7,0,0.0,136,554,229,0,2,0,6,0,149,0,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,498,19,72,225,212,54,498,34,18,52.9,15,44.1,287,1690,931,24,18,7,22,20,334,78,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,1410,44,356,843,227,32,1410,29,18,62.1,9,31.0,800,3806,1681,26,26,1,25,10,961,27,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,113,15,27,73,13,2,113,6,3,50.0,2,33.3,63,293,135,0,2,0,2,2,67,1,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,877,2,20,321,539,112,874,27,14,51.9,12,44.4,599,3431,1425,44,39,19,32,19,712,172,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,447,17,93,194,168,31,447,18,5,27.8,13,72.2,224,1288,463,11,14,0,17,15,262,59,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,573,43,173,234,172,13,573,5,1,20.0,4,80.0,200,1111,594,19,8,1,12,3,252,43,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,11,2,6,4,1,0,11,0,0,,0,,4,18,1,0,0,0,1,1,2,1,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,18,0,7,10,1,0,18,0,0,,0,,6,52,36,1,0,0,0,0,7,1,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,717,33,163,427,141,5,717,15,11,73.3,4,26.7,349,1545,920,12,10,1,10,4,417,17,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,352,6,73,202,80,6,352,6,2,33.3,3,50.0,165,548,253,2,4,0,4,5,229,15,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,587,7,64,258,275,20,586,35,19,54.3,12,34.3,332,1928,898,21,25,5,13,12,384,48,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,908,784,908,0,0,0,908,0,0,,0,,428,2727,1980,0,1,0,0,0,238,0,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,94,7,29,60,6,1,94,1,1,100.0,0,0.0,57,322,236,2,2,0,0,0,73,1,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,1030,20,144,638,267,21,1030,45,19,42.2,24,53.3,586,3622,1644,40,35,5,41,22,711,75,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,4,0,1,2,1,0,4,0,0,,0,,1,10,3,0,0,0,0,0,3,0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,1270,116,645,599,34,14,1270,6,3,50.0,3,50.0,871,4543,2346,8,12,2,14,4,902,2,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,46,0,3,24,19,1,46,0,0,,0,,28,98,35,0,0,0,0,1,36,6,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,448,25,168,198,84,4,448,6,5,83.3,1,16.7,213,1074,629,10,5,0,7,4,246,25,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,800,28,63,383,365,78,792,36,15,41.7,18,50.0,417,1700,559,17,21,6,55,39,543,145,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,337,306,336,1,0,0,337,0,0,,0,,135,946,700,0,0,0,0,0,68,0,Matches,069cb4f8
