Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
84,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,0,7,0,0.0,5.58,0.00,0.00,,25.6,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,f7a3e78a
85,Bruno,br BRA,MF,Bragantino,18,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad8c3404
86,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,2,5,2,40.0,0.38,0.15,0.40,1.00,7.6,0,0,0,0.7,0.7,0.14,+1.3,+1.3,Matches,470d197b
87,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,2,19,5,26.3,2.12,0.56,0.05,0.20,14.9,0,1,2,3.6,2.1,0.11,-1.6,-1.1,Matches,768cbb2d
88,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,4,26,6,23.1,2.08,0.48,0.08,0.33,24.8,5,2,2,3.7,2.2,0.08,+0.3,-0.2,Matches,5752f96d
89,Busanello,br BRA,DF,Juventude,23,1998,3.2,0,5,3,60.0,1.55,0.93,0.00,0.00,20.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,788c4780
90,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,2,18,4,22.2,0.61,0.13,0.11,0.50,18.0,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches,82549f54
91,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,1,7,2,28.6,2.22,0.63,0.14,0.50,14.8,0,0,0,1.5,1.5,0.22,-0.5,-0.5,Matches,8f774c7f
92,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c080bb5e
93,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,0,15,5,33.3,0.79,0.26,0.00,0.00,21.6,1,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,16cd17b7
94,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,1,16,3,18.8,0.89,0.17,0.06,0.33,17.4,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,6d9dc5be
95,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,0,2,2,100.0,2.07,2.07,0.00,0.00,15.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,7f2b23f8
96,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,2,14,4,28.6,3.99,1.14,0.14,0.50,12.1,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches,7f2b23f8
97,Caetano,br BRA,DF,Goiás,22,1999,24.6,1,5,4,80.0,0.20,0.16,0.20,0.25,10.4,0,0,0,0.5,0.5,0.10,+0.5,+0.5,Matches,226e5efd
98,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,2,9,5,55.6,1.44,0.80,0.22,0.40,12.5,0,0,0,1.4,1.4,0.16,+0.6,+0.6,Matches,8d043f1d
99,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,0,2,1,50.0,0.31,0.15,0.00,0.00,13.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,186ed8f1
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,0,5,2,40.0,1.70,0.68,0.00,0.00,19.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,0,3,0,0.0,0.41,0.00,0.00,,27.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,18,98,38,38.8,3.13,1.21,0.17,0.45,13.0,0,1,2,13.2,11.7,0.12,+4.8,+5.3,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,1,10,5,50.0,0.55,0.28,0.10,0.20,25.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,0,13,2,15.4,0.70,0.11,0.00,0.00,24.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,0,1,0,0.0,1.27,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,11,64,25,39.1,2.20,0.86,0.14,0.36,22.5,18,2,2,8.4,6.8,0.11,+2.6,+2.2,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,26,130,63,48.5,3.80,1.84,0.20,0.41,16.6,1,0,0,18.4,18.4,0.14,+7.6,+7.6,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,2,24,7,29.2,1.53,0.45,0.08,0.29,20.9,0,0,0,2.0,2.0,0.08,0.0,0.0,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,0,1,0,0.0,0.10,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,1,22,6,27.3,1.20,0.33,0.05,0.17,21.4,0,0,0,1.2,1.2,0.05,-0.2,-0.2,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,3,39,10,25.6,1.21,0.31,0.08,0.30,21.3,7,0,0,2.0,2.0,0.05,+1.0,+1.0,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,1,9,3,33.3,1.63,0.54,0.11,0.33,23.0,1,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,3,27,10,37.0,1.72,0.64,0.11,0.30,16.7,0,0,0,2.9,2.9,0.11,+0.1,+0.1,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,0,9,0,0.0,0.70,0.00,0.00,,21.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,0,3,0,0.0,0.74,0.00,0.00,,12.9,0,0,0,0.4,0.4,0.15,-0.4,-0.4,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,0,1,0,0.0,0.34,0.00,0.00,,25.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,0,13,4,30.8,2.39,0.73,0.00,0.00,14.4,1,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,1,1,1,100.0,2.50,2.50,1.00,1.00,3.4,0,0,0,0.1,0.1,0.12,+0.9,+0.9,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,1,13,4,30.8,1.72,0.53,0.08,0.25,22.1,1,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,0,1,0,0.0,0.64,0.00,0.00,,32.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,2,11,2,18.2,0.31,0.06,0.18,1.00,10.3,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,0,9,2,22.2,1.55,0.35,0.00,0.00,16.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,0,11,3,27.3,0.92,0.25,0.00,0.00,10.9,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,5,32,11,34.4,1.02,0.35,0.16,0.45,10.2,0,0,0,3.5,3.5,0.11,+1.5,+1.5,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,0,8,2,25.0,0.26,0.07,0.00,0.00,10.7,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,0,10,3,30.0,0.77,0.23,0.00,0.00,9.9,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,1,11,2,18.2,0.67,0.12,0.09,0.50,14.7,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,0,4,2,50.0,2.20,1.10,0.00,0.00,8.6,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,1,33,10,30.3,1.36,0.41,0.00,0.00,24.9,8,1,1,2.2,1.4,0.04,-1.2,-1.4,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,0,9,4,44.4,1.89,0.84,0.00,0.00,21.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,7,52,22,42.3,1.96,0.83,0.12,0.27,14.1,1,1,1,6.3,5.5,0.11,+0.7,+0.5,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,0,6,1,16.7,1.14,0.19,0.00,0.00,17.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,1,11,2,18.2,1.37,0.25,0.09,0.50,19.4,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,0,2,0,0.0,0.39,0.00,0.00,,9.2,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,0,13,3,23.1,3.57,0.82,0.00,0.00,16.3,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,4,37,15,40.5,3.40,1.38,0.11,0.27,13.6,0,0,0,4.8,4.8,0.13,-0.8,-0.8,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,0,9,1,11.1,0.93,0.10,0.00,0.00,24.2,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,0,1,0,0.0,0.29,0.00,0.00,,12.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,0,16,3,18.8,0.87,0.16,0.00,0.00,11.6,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,0,7,2,28.6,2.26,0.65,0.00,0.00,17.1,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,0,9,2,22.2,0.33,0.07,0.00,0.00,21.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,0,4,1,25.0,0.66,0.16,0.00,0.00,25.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,1,12,1,8.3,0.92,0.08,0.08,1.00,29.0,3,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,2,50,11,22.0,2.78,0.61,0.04,0.18,24.1,3,0,0,2.3,2.3,0.05,-0.3,-0.3,Matches,5c8615dd
152,Víctor Cuesta,ar ARG,DF,Botafogo (RJ),33,1988,28.5,4,22,9,40.9,0.77,0.32,0.18,0.44,11.1,1,0,0,2.0,2.0,0.09,+2.0,+2.0,Matches,39fb428f
153,Andrés D'Alessandro,ar ARG,FW,Internacional,40,1981,0.8,1,1,1,100.0,1.27,1.27,1.00,1.00,15.8,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches,6a11048a
154,Adailson Dadá,br BRA,MFFW,Goiás,24,1997,27.9,2,48,11,22.9,1.72,0.39,0.04,0.18,23.1,4,0,0,2.6,2.6,0.05,-0.6,-0.6,Matches,2a75cc09
155,Daniel,br BRA,GK,Internacional,27,1994,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,636fc976
156,Danilo,br BRA,DF,Goiás,24,1997,2.6,1,4,2,50.0,1.51,0.76,0.25,0.50,9.7,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches,415a34c5
157,Danilo,br BRA,MF,Palmeiras,20,2001,30.5,1,39,12,30.8,1.28,0.39,0.03,0.08,22.9,0,0,0,2.8,2.8,0.07,-1.8,-1.8,Matches,a816dbfb
158,David,br BRA,MF,Ceará,17,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,16a42430
159,David,br BRA,FW,Internacional,26,1995,9.1,0,16,4,25.0,1.76,0.44,0.00,0.00,12.4,0,0,0,1.7,1.7,0.11,-1.7,-1.7,Matches,92f9ace5
160,Kayke David,br BRA,FWMF,Flamengo,19,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2285358d
161,Giorgian De Arrascaeta,uy URU,MF,Flamengo,27,1994,16.4,3,52,16,30.8,3.17,0.97,0.06,0.19,17.6,6,0,0,6.9,6.9,0.13,-3.9,-3.9,Matches,be8d02dd
162,Denilson,br BRA,MF,Cuiabá,20,2001,7.8,0,8,0,0.0,1.03,0.00,0.00,,27.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,9144afdf
163,Dentinho,br BRA,FW,Ceará,33,1989,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,85686f86
164,Dentinho,br BRA,FWMF,Avaí,24,1997,3.2,0,4,2,50.0,1.27,0.63,0.00,0.00,17.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,aaacc628
165,Valentín Depietri,ar ARG,FWMF,Fortaleza,21,2000,2.6,0,6,1,16.7,2.31,0.38,0.00,0.00,18.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,d02cb5d7
166,Deyverson,br BRA,FW,Cuiabá,30,1991,14.1,6,35,16,45.7,2.48,1.13,0.11,0.25,15.8,1,2,3,5.8,3.5,0.10,+0.2,+0.5,Matches,2e5e846d
167,Luan Dias,br BRA,MFFW,Goiás,24,1997,8.6,0,7,3,42.9,0.82,0.35,0.00,0.00,27.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,a342ce1e
168,Matheus Dias,br BRA,MF,Internacional,24,1997,1.2,0,1,1,100.0,0.83,0.83,0.00,0.00,23.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,ddfa9005
169,Juan Díaz,co COL,MF,Coritiba,20,2001,1.5,0,1,0,0.0,0.66,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches,36839110
170,Diego,br BRA,MFDF,Ceará,33,1988,2.3,0,3,2,66.7,1.30,0.87,0.00,0.00,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,cd09e9a1
171,Diego,br BRA,GK,Atl Goianiense,23,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6b023405
172,Diego,br BRA,DF,São Paulo,22,1999,19.1,1,8,1,12.5,0.42,0.05,0.13,1.00,8.7,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches,7fb8f90c
173,Diego,br BRA,MF,Flamengo,36,1985,9.8,1,4,2,50.0,0.41,0.20,0.25,0.50,14.2,1,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches,255a478a
174,Diego,br BRA,GK,Botafogo (RJ),23,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6b023405
175,Dieguinho,br BRA,MFDF,Goiás,26,1995,32.1,2,28,4,14.3,0.87,0.12,0.07,0.50,24.2,0,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches,7e5a7340
176,Dodô,br BRA,DF,Atlético Mineiro,29,1992,10.1,1,10,2,20.0,0.99,0.20,0.10,0.50,20.1,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,99931185
177,Matheus Donelli,br BRA,GK,Corinthians,19,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7c736064
178,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6bfaecc4
179,Douglas,br BRA,DF,Bragantino,33,1988,0.8,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,e7fea035
180,Rodrigo Dourado,br BRA,MF,Internacional,27,1994,5.0,0,1,1,100.0,0.20,0.20,0.00,0.00,10.8,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,d7d05a22
181,David Duarte,br BRA,DF,Fluminense,27,1995,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,91bf16f7
182,Dudu,br BRA,FW,Palmeiras,30,1992,31.3,7,69,27,39.1,2.21,0.86,0.10,0.26,17.3,0,0,0,8.2,8.2,0.12,-1.2,-1.2,Matches,895ef5ec
183,Dudu,br BRA,DF,Juventude,19,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3f10ae0b
184,Pablo Dyego,br BRA,FW,Avaí,27,1994,5.4,0,8,3,37.5,1.49,0.56,0.00,0.00,19.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,fce54d7d
185,Edenílson,br BRA,MF,Internacional,32,1989,24.3,6,35,9,25.7,1.44,0.37,0.09,0.33,19.2,2,3,3,6.3,4.0,0.11,-0.3,-1.0,Matches,4e50f20e
186,Eder,br BRA,DF,América (MG),26,1995,32.7,0,9,4,44.4,0.28,0.12,0.00,0.00,15.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,ba1a2c4c
187,Éder,it ITA,FWMF,São Paulo,35,1986,7.4,3,14,3,21.4,1.89,0.40,0.14,0.67,17.3,2,1,1,1.7,0.9,0.06,+1.3,+1.1,Matches,5a325298
188,Edinho,br BRA,MF,Juventude,27,1994,4.1,0,5,0,0.0,1.23,0.00,0.00,,,,0,0,,,,,,Matches,a8cedcd9
189,Edson,br BRA,MFDF,Atl Goianiense,23,1998,9.1,0,3,0,0.0,0.33,0.00,0.00,,16.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,644d4d85
190,Edson,br BRA,DFMF,Atl Goianiense,30,1991,15.8,0,8,2,25.0,0.51,0.13,0.00,0.00,16.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,041250aa
191,Carlos Eduardo,br BRA,MF,Botafogo (RJ),32,1989,12.2,3,21,5,23.8,1.72,0.41,0.14,0.60,14.1,1,0,0,2.6,2.6,0.12,+0.4,+0.4,Matches,1a234d32
192,Carlos Eduardo,br BRA,FWMF,Bragantino,25,1996,10.0,0,15,3,20.0,1.50,0.30,0.00,0.00,21.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches,27c23008
193,Elton,br BRA,MF,Juventude,31,1990,12.9,0,11,1,9.1,0.85,0.08,0.00,0.00,17.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,42b5868b
194,Leandro Emmanuel Martínez,ar ARG,MF,América (MG),27,1994,2.9,0,9,3,33.3,3.10,1.03,0.00,0.00,17.1,0,0,0,1.1,1.1,0.12,-1.1,-1.1,Matches,74758396
195,Alan Empereur,br BRA,DF,Cuiabá,27,1994,24.7,1,5,1,20.0,0.20,0.04,0.20,1.00,8.7,0,0,0,0.9,0.9,0.19,+0.1,+0.1,Matches,825b8997
196,Endrick,br BRA,FW,Palmeiras,15,2006,3.4,3,14,10,71.4,4.10,2.93,0.21,0.30,12.6,0,0,0,3.1,3.1,0.22,-0.1,-0.1,Matches,a2728fbf
197,Erick,br BRA,MF,Atl Paranaense,24,1997,20.5,3,20,8,40.0,0.97,0.39,0.15,0.38,16.2,0,0,0,2.7,2.7,0.13,+0.3,+0.3,Matches,8a826636
198,Erick,br BRA,FWMF,Ceará,24,1997,11.7,2,31,10,32.3,2.65,0.86,0.03,0.10,20.0,2,1,1,2.7,2.0,0.06,-0.7,-1.0,Matches,8edcad0d
199,Erison,br BRA,FW,Botafogo (RJ),22,1999,16.5,7,48,20,41.7,2.91,1.21,0.13,0.30,15.8,0,1,1,4.7,4.5,0.09,+2.3,+1.5,Matches,a9c450cb
200,Estevão,br BRA,FWMF,Internacional,19,2002,1.2,0,2,1,50.0,1.67,0.83,0.00,0.00,22.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,149f4681
201,Lucas Evangelista,br BRA,MF,Bragantino,26,1995,29.0,2,47,10,21.3,1.62,0.34,0.02,0.10,21.1,0,1,2,4.5,2.9,0.06,-2.5,-1.9,Matches,5f4ce4b6
202,Everaldo,br BRA,MFFW,América (MG),27,1994,21.0,4,48,17,35.4,2.28,0.81,0.06,0.18,21.6,0,1,1,4.0,3.1,0.06,0.0,-0.1,Matches,bdb57777
203,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a59c090b
204,Éverton,br BRA,MFFW,Cuiabá,33,1988,4.4,1,4,1,25.0,0.90,0.23,0.25,1.00,18.6,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches,f50a3570
205,Fabinho,br BRA,MF,Palmeiras,19,2002,0.8,0,1,0,0.0,1.30,0.00,0.00,,34.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,ff0e595c
206,Fábio,br BRA,FWMF,Atlético Mineiro,24,1997,1.5,0,3,1,33.3,1.97,0.66,0.00,0.00,12.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,30f90535
207,Fábio,br BRA,GK,Fluminense,41,1980,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,15825726
208,Fabrício,br BRA,FWMF,Coritiba,24,1997,16.7,3,42,10,23.8,2.52,0.60,0.07,0.30,19.8,0,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches,0211a29e
209,Fagner,br BRA,DF,Corinthians,32,1989,10.0,0,1,0,0.0,0.10,0.00,0.00,,28.9,1,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,a9cc58fe
210,Willian Farias,br BRA,MF,Coritiba,32,1989,17.7,0,13,0,0.0,0.73,0.00,0.00,,29.5,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,d1fcff2f
211,Lucas Fasson,br BRA,DF,Atl Paranaense,20,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,31ecbf29
212,Felipe,br BRA,MF,Fortaleza,27,1994,9.8,0,7,1,14.3,0.72,0.10,0.00,0.00,22.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,cadbabf9
213,Luis Felipe,br BRA,DF,Santos,28,1993,10.9,1,3,1,33.3,0.27,0.09,0.33,1.00,,,0,0,,,,,,Matches,746c8624
214,Matheus Felipe,br BRA,DF,Atl Paranaense,23,1998,19.8,2,6,3,50.0,0.30,0.15,0.33,0.67,13.8,0,0,0,0.7,0.7,0.12,+1.3,+1.3,Matches,90749ab9
215,Lucas Fernandes,br BRA,MF,Botafogo (RJ),24,1997,18.6,2,45,13,28.9,2.42,0.70,0.04,0.15,26.2,5,0,0,1.5,1.5,0.03,+0.5,+0.5,Matches,a109d777
216,Matheus Fernandes,br BRA,MF,Atl Paranaense,23,1998,7.6,0,9,4,44.4,1.18,0.52,0.00,0.00,24.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,f76fdcd2
217,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,31.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9a82f79a
218,Ignacio Fernández,ar ARG,MF,Atlético Mineiro,32,1990,24.7,4,42,19,45.2,1.70,0.77,0.07,0.16,19.3,5,1,2,6.8,5.2,0.12,-2.8,-2.2,Matches,97a17c0b
219,Rodrigo Fernández,uy URU,MF,Santos,26,1996,25.7,0,15,2,13.3,0.58,0.08,0.00,0.00,27.1,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches,617ee116
220,Fernandinho,br BRA,MF,Atl Paranaense,36,1985,10.8,1,9,3,33.3,0.84,0.28,0.11,0.33,24.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,101da2b5
221,Derick Fernando,br BRA,DF,Santos,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a19d96f6
222,Luiz Fernando,br BRA,FWMF,Atl Goianiense,25,1996,19.4,2,50,15,30.0,2.58,0.77,0.04,0.13,15.9,0,0,0,4.2,4.2,0.08,-2.2,-2.2,Matches,824ed016
223,Nahuel Ferraresi,ve VEN,DF,São Paulo,23,1998,7.9,0,3,1,33.3,0.38,0.13,0.00,0.00,12.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,719aab45
224,Luiz Filipe,br BRA,MFFW,Goiás,20,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4a615e0b
